"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","seeds"
"1","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,1
"2","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,1
"3","10","0",0.6,"n",0.48,0.0874691537794986,3.2,14.3,25,1
"4","11.4","0",0.6,"n",0.48,0.0878932347270126,3.2,14.4,25,1
"5","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,1
"6","14.3","0",0.545454545454545,"n",0.461538461538462,0.0797963874394652,3.4,14.4,26,1
"7","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,1
"8","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,1
"9","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,1
"10","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,1
"11","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,1
"12","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,1
"13","10","1",0,"n",0,0.0874691537794986,3.2,14.3,25,1
"14","11.4","1",0,"n",0,0.0878932347270126,3.2,14.4,25,1
"15","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,1
"16","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0797963874394652,3.4,14.4,26,1
"17","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,1
"18","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,1
"19","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,1
"20","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,1
"21","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,1
"22","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,1
"23","10","2",0.4,"n",0.32,0.0874691537794986,3.2,14.3,25,1
"24","11.4","2",0.4,"n",0.32,0.0878932347270126,3.2,14.4,25,1
"25","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,1
"26","14.3","2",0.363636363636364,"n",0.307692307692308,0.0797963874394652,3.4,14.4,26,1
"27","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,1
"28","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,1
"29","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,1
"30","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,1
"31","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,1
"32","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,1
"33","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,1
"34","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,1
"35","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,1
"36","14.3","0",0,"a",0,0.0797963874394652,3.4,14.4,26,1
"37","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,1
"38","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,1
"39","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,1
"40","20","0",0,"a",0,0.0881693572914608,3.7,15,25,1
"41","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,1
"42","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,1
"43","10","1",0.2,"a",0.04,0.0874691537794986,3.2,14.3,25,1
"44","11.4","1",0.2,"a",0.04,0.0878932347270126,3.2,14.4,25,1
"45","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,1
"46","14.3","1",0.25,"a",0.0384615384615385,0.0797963874394652,3.4,14.4,26,1
"47","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,1
"48","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,1
"49","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,1
"50","20","1",0,"a",0,0.0881693572914608,3.7,15,25,1
"51","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,1
"52","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,1
"53","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,1
"54","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,1
"55","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,1
"56","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,1
"57","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,1
"58","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,1
"59","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,1
"60","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,1
"61","7.1","0",0.523809523809524,"n",0.44,0.08660366421615,3.2,14.1,25,2
"62","8.5","0",0.523809523809524,"n",0.44,0.0859956972239847,3.2,14.3,25,2
"63","10","0",0.523809523809524,"n",0.44,0.0864205672705489,3.2,14.3,25,2
"64","11.4","0",0.6,"n",0.517241379310345,0.0602587664309482,4,12.9,29,2
"65","12.8","0",0.6,"n",0.517241379310345,0.0598647541633808,4,13.1,29,2
"66","14.3","0",0.523809523809524,"n",0.44,0.0876605887090218,3.2,14.8,25,2
"67","15.7","0",0.5,"n",0.416666666666667,0.0967247586810597,3.3,15.1,24,2
