"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"1","7.1","0",0,"n",0,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"2","8.5","0",0,"n",0,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"3","10","0",0,"n",0,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"4","11.4","0",0,"n",0,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"5","12.8","0",0,"n",0,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"6","14.3","0",0,"n",0,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"7","15.7","0",0,"n",0,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"8","17.1","0",0,"n",0,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"9","18.6","0",0,"n",0,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"10","20","0",0,"n",0,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"11","7.1","1",0,"n",0,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"12","8.5","1",0,"n",0,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"13","10","1",0,"n",0,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"14","11.4","1",0,"n",0,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"15","12.8","1",0,"n",0,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"16","14.3","1",0,"n",0,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"17","15.7","1",0,"n",0,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"18","17.1","1",0,"n",0,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"19","18.6","1",0,"n",0,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"20","20","1",0,"n",0,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"24","11.4","2",1,"n",0.0847457627118644,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"25","12.8","2",1,"n",0.0847457627118644,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"26","14.3","2",1,"n",0.0847457627118644,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"27","15.7","2",1,"n",0.0847457627118644,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"28","17.1","2",1,"n",0.0847457627118644,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"31","7.1","0",0.851851851851852,"a",0.779661016949153,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"32","8.5","0",0.851851851851852,"a",0.779661016949153,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"33","10","0",0.851851851851852,"a",0.779661016949153,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"34","11.4","0",0.851851851851852,"a",0.779661016949153,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"35","12.8","0",0.851851851851852,"a",0.779661016949153,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"36","14.3","0",0.851851851851852,"a",0.779661016949153,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"37","15.7","0",0.851851851851852,"a",0.779661016949153,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"38","17.1","0",0.851851851851852,"a",0.779661016949153,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"39","18.6","0",0.851851851851852,"a",0.779661016949153,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"40","20","0",0.851851851851852,"a",0.779661016949153,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"41","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"42","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"43","10","1",0.0185185185185185,"a",0.0169491525423729,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"44","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"45","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"46","14.3","1",0.0185185185185185,"a",0.0169491525423729,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"47","15.7","1",0.0185185185185185,"a",0.0169491525423729,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
"48","17.1","1",0.0185185185185185,"a",0.0169491525423729,0.0282076480578476,13.1,0,59,0.0763840612019611,0.1,1,10
"49","18.6","1",0.0185185185185185,"a",0.0169491525423729,0.0292440447569874,14.1,0,59,0.0911789422848051,0.1,1,10
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.030795393269209,15.4,0,59,0.100742757898332,0.1,1,10
"51","7.1","2",0.12962962962963,"a",0.11864406779661,0.016318036276564,7,0,59,0.0194917039705603,0.1,1,10
"52","8.5","2",0.12962962962963,"a",0.11864406779661,0.0184024457952702,8.4,0,59,0.0252758212536388,0.1,1,10
"53","10","2",0.12962962962963,"a",0.11864406779661,0.0203017803010838,9.9,0,59,0.0331378666490811,0.1,1,10
"54","11.4","2",0.12962962962963,"a",0.11864406779661,0.0235509382406125,10.6,0,59,0.0361946512914261,0.1,1,10
"55","12.8","2",0.12962962962963,"a",0.11864406779661,0.0249550583118988,10.9,0,59,0.0433964406114033,0.1,1,10
"56","14.3","2",0.12962962962963,"a",0.11864406779661,0.0260893035884604,11,0,59,0.0521566479626177,0.1,1,10
"57","15.7","2",0.12962962962963,"a",0.11864406779661,0.0271453633516291,11.7,0,59,0.0617365927600825,0.1,1,10
