"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"1","7.1","0",0,"n",0,0.0999959646618783,9.1,0,59,0.024429491243404,0.1,1,10
"2","8.5","0",0,"n",0,0.111007243031796,10.6,0,59,0.0317784856659239,0.1,1,10
"3","10","0",0,"n",0,0.113515145830336,11.2,0,59,0.039021673987076,0.1,1,10
"4","11.4","0",0,"n",0,0.118219657737032,12.1,0,59,0.0465828971565216,0.1,1,10
"5","12.8","0",0,"n",0,0.121426898829624,13.5,0,59,0.0586393991463406,0.1,1,10
"6","14.3","0",0,"n",0,0.123230974256364,14.9,0,59,0.0746471570681577,0.1,1,10
"7","15.7","0",0,"n",0,0.133627990489443,15,0,59,0.0826845065706385,0.1,1,10
"8","17.1","0",0,"n",0,0.135205600265608,16,0,59,0.0962461783186153,0.1,1,10
"9","18.6","0",0,"n",0,0.137278894976874,17,0,59,0.113036762815942,0.1,1,10
"10","20","0",0,"n",0,0.141192007603104,17.7,0,59,0.127914914285984,0.1,1,10
"11","7.1","1",0,"n",0,0.0999959646618783,9.1,0,59,0.024429491243404,0.1,1,10
"12","8.5","1",0,"n",0,0.111007243031796,10.6,0,59,0.0317784856659239,0.1,1,10
"13","10","1",0,"n",0,0.113515145830336,11.2,0,59,0.039021673987076,0.1,1,10
"14","11.4","1",0,"n",0,0.118219657737032,12.1,0,59,0.0465828971565216,0.1,1,10
"15","12.8","1",0,"n",0,0.121426898829624,13.5,0,59,0.0586393991463406,0.1,1,10
"16","14.3","1",0,"n",0,0.123230974256364,14.9,0,59,0.0746471570681577,0.1,1,10
"17","15.7","1",0,"n",0,0.133627990489443,15,0,59,0.0826845065706385,0.1,1,10
"18","17.1","1",0,"n",0,0.135205600265608,16,0,59,0.0962461783186153,0.1,1,10
"19","18.6","1",0,"n",0,0.137278894976874,17,0,59,0.113036762815942,0.1,1,10
"20","20","1",0,"n",0,0.141192007603104,17.7,0,59,0.127914914285984,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.0999959646618783,9.1,0,59,0.024429491243404,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.111007243031796,10.6,0,59,0.0317784856659239,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.113515145830336,11.2,0,59,0.039021673987076,0.1,1,10
"24","11.4","2",1,"n",0.0847457627118644,0.118219657737032,12.1,0,59,0.0465828971565216,0.1,1,10
"25","12.8","2",1,"n",0.0847457627118644,0.121426898829624,13.5,0,59,0.0586393991463406,0.1,1,10
"26","14.3","2",1,"n",0.0847457627118644,0.123230974256364,14.9,0,59,0.0746471570681577,0.1,1,10
"27","15.7","2",1,"n",0.0847457627118644,0.133627990489443,15,0,59,0.0826845065706385,0.1,1,10
"28","17.1","2",1,"n",0.0847457627118644,0.135205600265608,16,0,59,0.0962461783186153,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.137278894976874,17,0,59,0.113036762815942,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.141192007603104,17.7,0,59,0.127914914285984,0.1,1,10
"31","7.1","0",0.814814814814815,"a",0.745762711864407,0.0999959646618783,9.1,0,59,0.024429491243404,0.1,1,10
"32","8.5","0",0.851851851851852,"a",0.779661016949153,0.111007243031796,10.6,0,59,0.0317784856659239,0.1,1,10
"33","10","0",0.833333333333333,"a",0.76271186440678,0.113515145830336,11.2,0,59,0.039021673987076,0.1,1,10
"34","11.4","0",0.851851851851852,"a",0.779661016949153,0.118219657737032,12.1,0,59,0.0465828971565216,0.1,1,10
"35","12.8","0",0.851851851851852,"a",0.779661016949153,0.121426898829624,13.5,0,59,0.0586393991463406,0.1,1,10
"36","14.3","0",0.833333333333333,"a",0.76271186440678,0.123230974256364,14.9,0,59,0.0746471570681577,0.1,1,10
"37","15.7","0",0.833333333333333,"a",0.76271186440678,0.133627990489443,15,0,59,0.0826845065706385,0.1,1,10
"38","17.1","0",0.833333333333333,"a",0.76271186440678,0.135205600265608,16,0,59,0.0962461783186153,0.1,1,10
"39","18.6","0",0.833333333333333,"a",0.76271186440678,0.137278894976874,17,0,59,0.113036762815942,0.1,1,10
"40","20","0",0.851851851851852,"a",0.779661016949153,0.141192007603104,17.7,0,59,0.127914914285984,0.1,1,10
"41","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0999959646618783,9.1,0,59,0.024429491243404,0.1,1,10
"42","8.5","1",0.0185185185185185,"a",0.0169491525423729,0.111007243031796,10.6,0,59,0.0317784856659239,0.1,1,10
"43","10","1",0.0555555555555556,"a",0.0508474576271186,0.113515145830336,11.2,0,59,0.039021673987076,0.1,1,10
"44","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.118219657737032,12.1,0,59,0.0465828971565216,0.1,1,10
"45","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.121426898829624,13.5,0,59,0.0586393991463406,0.1,1,10
"46","14.3","1",0.0555555555555556,"a",0.0508474576271186,0.123230974256364,14.9,0,59,0.0746471570681577,0.1,1,10
"47","15.7","1",0.0555555555555556,"a",0.0508474576271186,0.133627990489443,15,0,59,0.0826845065706385,0.1,1,10
"48","17.1","1",0.0555555555555556,"a",0.0508474576271186,0.135205600265608,16,0,59,0.0962461783186153,0.1,1,10
"49","18.6","1",0.0555555555555556,"a",0.0508474576271186,0.137278894976874,17,0,59,0.113036762815942,0.1,1,10
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.141192007603104,17.7,0,59,0.127914914285984,0.1,1,10
