"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Ba","Bn","Bn_Ba"
"1","7.1","0",0,"n",0,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"2","8.5","0",0,"n",0,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"3","10","0",0,"n",0,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"4","11.4","0",0,"n",0,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"5","12.8","0",0,"n",0,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"6","14.3","0",0,"n",0,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"7","15.7","0",0,"n",0,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"8","17.1","0",0,"n",0,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"9","18.6","0",0,"n",0,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"10","20","0",0,"n",0,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"11","7.1","1",0,"n",0,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"12","8.5","1",0,"n",0,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"13","10","1",0,"n",0,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"14","11.4","1",0,"n",0,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"15","12.8","1",0,"n",0,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"16","14.3","1",0,"n",0,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"17","15.7","1",0,"n",0,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"18","17.1","1",0,"n",0,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"19","18.6","1",0,"n",0,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"20","20","1",0,"n",0,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"24","11.4","2",1,"n",0.142857142857143,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"25","12.8","2",1,"n",0.161290322580645,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"26","14.3","2",1,"n",0.185185185185185,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"27","15.7","2",1,"n",0.166666666666667,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"28","17.1","2",1,"n",0.151515151515152,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"31","7.1","0",0.814814814814815,"a",0.745762711864407,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"32","8.5","0",0.814814814814815,"a",0.745762711864407,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"33","10","0",0.851851851851852,"a",0.779661016949153,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"34","11.4","0",0.733333333333333,"a",0.628571428571429,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"35","12.8","0",0.692307692307692,"a",0.580645161290323,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"36","14.3","0",0.636363636363636,"a",0.518518518518518,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"37","15.7","0",0.68,"a",0.566666666666667,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"38","17.1","0",0.714285714285714,"a",0.606060606060606,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"39","18.6","0",0.851851851851852,"a",0.779661016949153,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"40","20","0",0.851851851851852,"a",0.779661016949153,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"41","7.1","1",0.0925925925925926,"a",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"42","8.5","1",0.0925925925925926,"a",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"43","10","1",0.0185185185185185,"a",0.0169491525423729,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"44","11.4","1",0.0333333333333333,"a",0.0285714285714286,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"45","12.8","1",0.0384615384615385,"a",0.032258064516129,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"46","14.3","1",0.0454545454545455,"a",0.037037037037037,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"47","15.7","1",0.04,"a",0.0333333333333333,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"48","17.1","1",0.0357142857142857,"a",0.0303030303030303,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"49","18.6","1",0.0185185185185185,"a",0.0169491525423729,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"50","20","1",0.0185185185185185,"a",0.0169491525423729,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"51","7.1","2",0.0925925925925926,"a",0.0847457627118644,0.0154832830088376,5.4,0,59,0.0161326521034949,0.1,1,10
"52","8.5","2",0.0925925925925926,"a",0.0847457627118644,0.0174143010717634,6.8,0,59,0.0210070146870457,0.1,1,10
"53","10","2",0.12962962962963,"a",0.11864406779661,0.0208307190222117,7.9,0,59,0.0262179971602608,0.1,1,10
"54","11.4","2",0.233333333333333,"a",0.2,0.093719783362586,4.5,15.5,35,0.0774996901503023,0.1,1,10
"55","12.8","2",0.269230769230769,"a",0.225806451612903,0.123118465386362,3.7,19.8,31,0.107437993537192,0.1,1,10
"56","14.3","2",0.318181818181818,"a",0.259259259259259,0.160428280752166,2.9,24.4,27,0.143453824747416,0.1,1,10
"57","15.7","2",0.28,"a",0.233333333333333,0.137961649051751,3.2,23.3,30,0.149624696786734,0.1,1,10
"58","17.1","2",0.25,"a",0.212121212121212,0.117298981238044,3.5,21.6,33,0.150990919346264,0.1,1,10
"59","18.6","2",0.12962962962963,"a",0.11864406779661,0.0289248832704067,11,0,59,0.0725266478087706,0.1,1,10
"60","20","2",0.12962962962963,"a",0.11864406779661,0.0302878915095933,11.3,0,59,0.0821199360446525,0.1,1,10
"61","7.1","0",0,"n",0,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3,1,3.33333333333333
"62","8.5","0",0.583333333333333,"n",0.35,0.156801132319104,1.4,20.5,20,0.0720462380582391,0.3,1,3.33333333333333
"63","10","0",0.166666666666667,"n",0.037037037037037,0.108346337612229,1.9,19,27,0.0774996901503023,0.3,1,3.33333333333333
"64","11.4","0",0,"n",0,0.135573467001608,2.7,21.8,26,0.104828335740565,0.3,1,3.33333333333333
"65","12.8","0",0,"n",0,0.18324839829602,1.9,26,22,0.137256635097068,0.3,1,3.33333333333333
"66","14.3","0",0,"n",0,0.143721330464885,2.7,25.3,26,0.148256093072167,0.3,1,3.33333333333333
"67","15.7","0",0,"n",0,0.157066531894411,2.5,27.5,25,0.171024081496852,0.3,1,3.33333333333333
"68","17.1","0",0,"n",0,0.139607238025958,2.3,27.5,27,0.18180159202578,0.3,1,3.33333333333333
"69","18.6","0",0,"n",0,0.115691082931266,2.9,25.9,30,0.184867744064211,0.3,1,3.33333333333333
"70","20","0",0,"n",0,0.0802329674512407,6.1,21.3,36,0.177426591361112,0.3,1,3.33333333333333
"71","7.1","1",0.2,"n",0.0416666666666667,0.132197840849642,1.2,16.5,24,0.0486627661746853,0.3,1,3.33333333333333
