"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"1",1,"7.1",1,"a",0.895304163356212,0.00176018236677991,2,0.895304163356212,7.1
"2",2,"7.1",3,"n",0.906169530371851,0.00196601606339184,0,0.811297353248462,7.1
"3",3,"7.1",3,"n",0.906169530371851,0.00208945177073967,0,0.735172941585085,7.3
"4",4,"7.1",3,"n",0.906169530371851,0.00220728062622378,0,0.666191319218248,7.5
"5",5,"7.1",3,"n",0.906169530371851,0.00233318658300928,0,0.603682274873804,7.7
"6",6,"7.1",3,"n",0.906169530371851,0.00247413699009806,0,0.547038483516206,7.9
"7",7,"7.1",3,"n",0.906169530371851,0.00262448048149288,0,0.49570960570321,8.1
"8",8,"7.1",3,"n",0.906169530371851,0.00271439802145103,0,0.449196940600893,8.3
"9",9,"7.1",3,"n",0.906169530371851,0.00281984637592538,0,0.407048580708784,8.5
"10",10,"7.1",3,"n",0.906169530371851,0.00287118165558377,0,0.368855021219407,8.7
"11",11,"7.1",3,"n",0.906169530371851,0.00295767747845467,0,0.33424518135369,8.9
"12",12,"7.1",3,"n",0.906169530371851,0.00306527278844855,0,0.302882799016327,9.1
"13",13,"7.1",3,"n",0.906169530371851,0.00308653384407046,2,0.274463163742337,9.3
"14",14,"7.1",5,"a",0.895304163356212,0.00325723987368285,2,0.245728013186432,9.4
"15",15,"7.1",7,"n",0.906169530371851,0.0036381377491561,2,0.222671238308357,9.4
"16",16,"7.1",9,"n",0.906169530371851,0.00382235918209118,0,0.201777891445203,9.5
"17",17,"7.1",9,"n",0.906169530371851,0.00401093221883877,2,0.182844977130322,9.7
"18",18,"7.1",11,"a",0.895304163356212,0.0043296079887869,2,0.163701869273548,9.8
"19",19,"7.1",13,"n",0.906169530371851,0.00483590735527977,2,0.148341646000605,9.8
"20",20,"7.1",15,"n",0.906169530371851,0.00509200659118755,2,0.134422679690956,9.9
"21",21,"7.1",17,"n",0.906169530371851,0.00524452303771158,2,0.121809736526879,10
"22",22,"7.1",19,"a",0.895304163356212,0.00565013537220829,2,0.109056764249838,10.1
"23",23,"7.1",21,"n",0.906169530371851,0.00631085568844863,2,0.0988239168441497,10.1
"24",24,"7.1",23,"n",0.906169530371851,0.00675887509309727,2,0.08955122231617,10.2
"25",25,"7.1",25,"a",0.884562637118711,0.00723791657668071,1,0.0792136653691953,10.3
"26",26,"7.1",26,"o",0.895304163356212,0.00808112297110563,0,0.0709203243997464,10.4
"27",27,"7.1",26,"o",0.895304163356212,0.0081508695487713,0,0.0634952617016661,10.7
"28",28,"7.1",26,"o",0.895304163356212,0.00821374425052739,0,0.0568475721548939,11.1
"29",29,"7.1",26,"o",0.895304163356212,0.0079577414746976,0,0.0508958680269691,11.5
"30",30,"7.1",26,"o",0.895304163356212,0.00776274295730054,0,0.0455672825421738,11.9
"31",31,"7.1",26,"o",0.895304163356212,0.00768337080118933,0,0.040796577772837,12.3
"32",32,"7.1",26,"o",0.895304163356212,0.00746323174633361,0,0.0365253459307065,12.7
"33",33,"7.1",26,"o",0.895304163356212,0.00701955872848969,0,0.0327012942797874,13.1
"34",34,"7.1",26,"o",0.895304163356212,0.00715521237345088,0,0.0292776049158303,13.5
"35",35,"7.1",26,"o",0.895304163356212,0.00693488921277145,0,0.0262123615742412,14
"36",36,"7.1",26,"o",0.895304163356212,0.00655215774149998,0,0.0234680364488165,14.5
"37",37,"7.1",26,"o",0.895304163356212,0.00649517525924646,0,0.0210110307384208,15
"38",38,"7.1",26,"o",0.895304163356212,0.00590469509644169,0,0.0188112632965135,15.5
"39",39,"7.1",26,"o",0.895304163356212,0.00599747523438797,0,0.0168418023473584,16
"40",40,"7.1",26,"o",0.895304163356212,0.00591697562733391,0,0.0150785357600124,16.5
"41",41,"7.1",26,"o",0.895304163356212,0.00543236808109945,0,0.0134998758432546,17
"42",42,"7.1",26,"o",0.895304163356212,0.00551741249357497,0,0.0120864950472578,17.5
"43",43,"7.1",26,"o",0.895304163356212,0.00553547423166835,0,0.0108210893361942,18
"44",44,"7.1",26,"o",0.895304163356212,0.00516211718819066,0,0.00968816633474415,18.5
"45",45,"7.1",26,"o",0.895304163356212,0.00530219939637754,0,0.00867385565478393,19
"46",46,"7.1",26,"o",0.895304163356212,0.005447731991162,0,0.00776573908007887,19.5
"47",47,"7.1",26,"o",0.895304163356212,0.00551984108462074,0,0.00695269852993265,20
"48",48,"7.1",26,"o",0.895304163356212,0.00527618169461362,0,0.00622477994040932,20.4
"49",49,"7.1",26,"o",0.895304163356212,0.005551909278867,0,0.0055730713966247,20.8
"50",50,"7.1",26,"o",0.895304163356212,0.0057929761582285,0,0.00498959402407951,21.2
"51",51,"7.1",26,"o",0.895304163356212,0.00604903221317907,0,0.00446720430321566,21.6
"52",52,"7.1",26,"o",0.895304163356212,0.00632087834263911,0,0.00399950661123177,22
"53",53,"7.1",26,"o",0.895304163356212,0.0064508135288711,0,0.0035807749204065,22.4
"54",54,"7.1",26,"o",0.895304163356212,0.0068243366704199,0,0.00320588269428144,22.8
"55",55,"7.1",26,"o",0.895304163356212,0.00732818534881754,0,0.00287024012342181,23.1
"56",56,"7.1",26,"o",0.895304163356212,0.00788268765352618,0,0.00256973793233159,23.4
"57",57,"7.1",26,"o",0.895304163356212,0.00849505561930253,0,0.00230069706955086,23.7
"58",58,"7.1",26,"o",0.895304163356212,0.00917390444815211,0,0.00205982366499032,24
"59",59,"7.1",26,"o",0.895304163356212,0.00983442245841706,0,0.00184416870304548,24.3
"60",60,"7.1",26,"o",NA,NA,NA,NA,24.5
"61",1,"8.5",1,"a",0.896094844360371,0.00180168067047806,2,0.896094844360371,8.5
"62",2,"8.5",3,"n",0.906969324301961,0.00201059149242633,0,0.812730535499997,8.5
"63",3,"8.5",3,"n",0.906969324301961,0.00212832121785814,0,0.737121664622003,8.7
"64",4,"8.5",3,"n",0.906969324301961,0.00225552624582821,0,0.668546738090555,8.9
"65",5,"8.5",3,"n",0.906969324301961,0.00238160027897632,0,0.606351383310271,9.1
"66",6,"8.5",3,"n",0.906969324301961,0.00252479450686473,0,0.549942104410476,9.3
"67",7,"8.5",3,"n",0.906969324301961,0.00267755252656112,0,0.498780618842368,9.5
"68",8,"8.5",3,"n",0.906969324301961,0.00278631570699203,0,0.452378720846376,9.7
"69",9,"8.5",3,"n",0.906969324301961,0.00292584017769068,0,0.410293622774623,9.9
"70",10,"8.5",3,"n",0.906969324301961,0.00303772647051341,0,0.372123729813304,10.1
"71",11,"8.5",3,"n",0.906969324301961,0.00306454974079014,0,0.337504807785498,10.3
"72",12,"8.5",3,"n",0.906969324301961,0.00315729605386674,2,0.306106507465876,10.5
"73",13,"8.5",5,"a",0.896094844360371,0.00337412802098016,2,0.274300463165331,10.6
"74",14,"8.5",7,"n",0.906969324301961,0.00376536930461708,0,0.248782105732775,10.6
"75",15,"8.5",7,"n",0.906969324301961,0.00380108524725594,2,0.225637738334874,10.8
"76",16,"8.5",9,"n",0.906969324301961,0.0040148533218317,2,0.204646507074604,10.9
"77",17,"8.5",11,"a",0.896094844360371,0.00420749803121842,2,0.183382679905911,11
"78",18,"8.5",13,"n",0.906969324301961,0.00469537131889394,0,0.166322465282947,11
"79",19,"8.5",13,"n",0.906969324301961,0.00493948748174606,2,0.15084937395391,11.2
"80",20,"8.5",15,"n",0.906969324301961,0.00533664749607651,2,0.136815754766352,11.3
"81",21,"8.5",17,"n",0.906969324301961,0.00561926485113444,2,0.124087692654301,11.4
"82",22,"8.5",19,"a",0.896094844360371,0.00578757380592952,2,0.111194341636093,11.5
"83",23,"8.5",21,"n",0.906969324301961,0.00645866209626579,2,0.100849856899889,11.5
"84",24,"8.5",23,"n",0.906969324301961,0.00696432121907579,2,0.0914677265684419,11.6
"85",25,"8.5",25,"a",0.885344303624607,0.0074587313593779,1,0.0809804306828632,11.7
"86",26,"8.5",26,"o",0.896094844360371,0.00818248055361778,0,0.0725661464289961,11.8
"87",27,"8.5",26,"o",0.896094844360371,0.00832469713460791,0,0.0650261496901232,12.1
"88",28,"8.5",26,"o",0.896094844360371,0.00848087496752073,0,0.0582695974859252,12.5
"89",29,"8.5",26,"o",0.896094844360371,0.00817677377761866,0,0.0522150858900916,12.9
"90",30,"8.5",26,"o",0.896094844360371,0.00816428508150239,0,0.0467896692639451,13.3
"91",31,"8.5",26,"o",0.896094844360371,0.00778669736312292,0,0.0419279813967481,13.7
"92",32,"8.5",26,"o",0.896094844360371,0.00776518417710552,0,0.0375714479640635,14.1
"93",33,"8.5",26,"o",0.896094844360371,0.00769435245520442,0,0.0336675808157513,14.5
"94",34,"8.5",26,"o",0.896094844360371,0.00731279488029719,0,0.0301693455910809,15
"95",35,"8.5",26,"o",0.896094844360371,0.00717842421502803,0,0.0270345950418939,15.5
"96",36,"8.5",26,"o",0.896094844360371,0.00676739652808146,0,0.0242255612364116,16
"97",37,"8.5",26,"o",0.896094844360371,0.00658888803048701,0,0.0217084005256849,16.5
"98",38,"8.5",26,"o",0.896094844360371,0.00634265504396599,0,0.0194527857903762,17
"99",39,"8.5",26,"o",0.896094844360371,0.006086079636536,0,0.0174315410552028,17.5
"100",40,"8.5",26,"o",0.896094844360371,0.00600490387101342,0,0.0156203140688234,18
"101",41,"8.5",26,"o",0.896094844360371,0.00558518079570519,0,0.0139972829043624,18.5
"102",42,"8.5",26,"o",0.896094844360371,0.00560092032577105,0,0.0125428930456527,19
"103",43,"8.5",26,"o",0.896094844360371,0.0056194788189247,0,0.0112396217915729,19.5
"104",44,"8.5",26,"o",0.896094844360371,0.00524173970266282,0,0.010071767139989,20
"105",45,"8.5",26,"o",0.896094844360371,0.00543444870177794,0,0.00902525860774234,20.5
"106",46,"8.5",26,"o",0.896094844360371,0.00558437348260521,0,0.00808748770741697,21
"107",47,"8.5",26,"o",0.896094844360371,0.00568331728553543,0,0.00724715603844423,21.5
"108",48,"8.5",26,"o",0.896094844360371,0.00535809010860378,0,0.00649413916232501,22
"109",49,"8.5",26,"o",0.896094844360371,0.00563671853581385,0,0.00581936462191822,22.4
"110",50,"8.5",26,"o",0.896094844360371,0.00587990960759333,0,0.00521470263515406,22.8
"111",51,"8.5",26,"o",0.896094844360371,0.00613805689864518,0,0.00467286814623399,23.2
"112",52,"8.5",26,"o",0.896094844360371,0.00641195639483056,0,0.00418733305421609,23.6
"113",53,"8.5",26,"o",0.896094844360371,0.00662435740145579,0,0.0037522475615028,24
"114",54,"8.5",26,"o",0.896094844360371,0.00691898893217551,0,0.00336236969462644,24.4
"115",55,"8.5",26,"o",0.896094844360371,0.00742584526149416,0,0.00301300214818831,24.7
