"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","Bn"
"1","7.1","0",0.785714285714286,"n",0.745762711864407,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"2","8.5","0",0.785714285714286,"n",0.745762711864407,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"3","10","0",0.785714285714286,"n",0.745762711864407,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"4","11.4","0",0.785714285714286,"n",0.745762711864407,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"5","12.8","0",0.785714285714286,"n",0.745762711864407,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"6","14.3","0",0.785714285714286,"n",0.745762711864407,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"7","15.7","0",0.785714285714286,"n",0.745762711864407,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"8","17.1","0",0.785714285714286,"n",0.745762711864407,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"9","18.6","0",0.785714285714286,"n",0.745762711864407,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"10","20","0",0.785714285714286,"n",0.745762711864407,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"11","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"12","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"13","10","1",0.0892857142857143,"n",0.0847457627118644,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"14","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"15","12.8","1",0.0892857142857143,"n",0.0847457627118644,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"16","14.3","1",0.0892857142857143,"n",0.0847457627118644,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"17","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"18","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"19","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"20","20","1",0.0892857142857143,"n",0.0847457627118644,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"21","7.1","2",0.142857142857143,"n",0.135593220338983,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"22","8.5","2",0.142857142857143,"n",0.135593220338983,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"23","10","2",0.125,"n",0.11864406779661,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"24","11.4","2",0.125,"n",0.11864406779661,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"25","12.8","2",0.125,"n",0.11864406779661,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"26","14.3","2",0.125,"n",0.11864406779661,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"27","15.7","2",0.125,"n",0.11864406779661,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"28","17.1","2",0.142857142857143,"n",0.135593220338983,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"29","18.6","2",0.125,"n",0.11864406779661,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"30","20","2",0.125,"n",0.11864406779661,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"31","7.1","0",0,"a",0,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"32","8.5","0",0,"a",0,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"33","10","0",0,"a",0,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"34","11.4","0",0,"a",0,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"35","12.8","0",0,"a",0,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"36","14.3","0",0,"a",0,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"37","15.7","0",0,"a",0,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"38","17.1","0",0,"a",0,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"39","18.6","0",0,"a",0,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"40","20","0",0,"a",0,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"41","7.1","1",0.333333333333333,"a",0.0169491525423729,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"42","8.5","1",0.333333333333333,"a",0.0169491525423729,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"43","10","1",0,"a",0,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"44","11.4","1",0,"a",0,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"45","12.8","1",0,"a",0,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"46","14.3","1",0,"a",0,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"47","15.7","1",0,"a",0,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"48","17.1","1",0.333333333333333,"a",0.0169491525423729,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"49","18.6","1",0,"a",0,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"50","20","1",0,"a",0,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"51","7.1","2",0.666666666666667,"a",0.0338983050847458,0.0197777741581731,11.8,0,59,0.0294004791312352,0.1
"52","8.5","2",0.666666666666667,"a",0.0338983050847458,0.0215200043248767,13.1,0,59,0.0369805814277929,0.1
"53","10","2",1,"a",0.0508474576271186,0.0234926276667925,14.8,0,59,0.0478786262215596,0.1
"54","11.4","2",1,"a",0.0508474576271186,0.0252231560270523,16.9,0,59,0.0633729542669127,0.1
"55","12.8","2",1,"a",0.0508474576271186,0.0264680168463504,18.5,0,59,0.07864182444528,0.1
"56","14.3","2",1,"a",0.0508474576271186,0.0277037360088116,20,0,59,0.0965414913248893,0.1
"57","15.7","2",1,"a",0.0508474576271186,0.0294096288998277,21.1,0,59,0.112756290261972,0.1
"58","17.1","2",0.666666666666667,"a",0.0338983050847458,0.030645121011024,22.7,0,59,0.132907539610102,0.1
"59","18.6","2",1,"a",0.0508474576271186,0.0331045756599941,23.4,0,59,0.147605906669966,0.1
"60","20","2",1,"a",0.0508474576271186,0.0338624055650563,24.5,0,59,0.163837334838488,0.1
"61","7.1","0",0.785714285714286,"n",0.745762711864407,0.0126166969070229,11.8,0,59,0.0294004791312352,0.3
"62","8.5","0",0.785714285714286,"n",0.745762711864407,0.0137285494337568,13.1,0,59,0.0369805814277929,0.3
"63","10","0",0.785714285714286,"n",0.745762711864407,0.0149874020586655,14.8,0,59,0.0478786262215596,0.3
"64","11.4","0",0.785714285714286,"n",0.745762711864407,0.016091854273675,16.9,0,59,0.0633729542669127,0.3
"65","12.8","0",0.785714285714286,"n",0.745762711864407,0.0168863661434444,18.5,0,59,0.07864182444528,0.3
"66","14.3","0",0.785714285714286,"n",0.745762711864407,0.0176750537265578,20,0,59,0.0965414913248893,0.3
"67","15.7","0",0.785714285714286,"n",0.745762711864407,0.0187638515748315,21.1,0,59,0.112756290261972,0.3
"68","17.1","0",0.785714285714286,"n",0.745762711864407,0.0195525215898548,22.7,0,59,0.132907539610102,0.3
"69","18.6","0",0.785714285714286,"n",0.745762711864407,0.0211222159463055,23.4,0,59,0.147605906669966,0.3
"70","20","0",0.785714285714286,"n",0.745762711864407,0.0216059315627496,24.5,0,59,0.163837334838488,0.3
"71","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0126166969070229,11.8,0,59,0.0294004791312352,0.3
"72","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.0137285494337568,13.1,0,59,0.0369805814277929,0.3
"73","10","1",0.0892857142857143,"n",0.0847457627118644,0.0149874020586655,14.8,0,59,0.0478786262215596,0.3
"74","11.4","1",0.0892857142857143,"n",0.0847457627118644,0.016091854273675,16.9,0,59,0.0633729542669127,0.3
"75","12.8","1",0.0892857142857143,"n",0.0847457627118644,0.0168863661434444,18.5,0,59,0.07864182444528,0.3
"76","14.3","1",0.0892857142857143,"n",0.0847457627118644,0.0176750537265578,20,0,59,0.0965414913248893,0.3
"77","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0187638515748315,21.1,0,59,0.112756290261972,0.3
"78","17.1","1",0.0714285714285714,"n",0.0677966101694915,0.0195525215898548,22.7,0,59,0.132907539610102,0.3
"79","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.0211222159463055,23.4,0,59,0.147605906669966,0.3
"80","20","1",0.0892857142857143,"n",0.0847457627118644,0.0216059315627496,24.5,0,59,0.163837334838488,0.3
"81","7.1","2",0.142857142857143,"n",0.135593220338983,0.0126166969070229,11.8,0,59,0.0294004791312352,0.3
"82","8.5","2",0.142857142857143,"n",0.135593220338983,0.0137285494337568,13.1,0,59,0.0369805814277929,0.3
"83","10","2",0.125,"n",0.11864406779661,0.0149874020586655,14.8,0,59,0.0478786262215596,0.3
"84","11.4","2",0.125,"n",0.11864406779661,0.016091854273675,16.9,0,59,0.0633729542669127,0.3
"85","12.8","2",0.125,"n",0.11864406779661,0.0168863661434444,18.5,0,59,0.07864182444528,0.3
"86","14.3","2",0.125,"n",0.11864406779661,0.0176750537265578,20,0,59,0.0965414913248893,0.3
"87","15.7","2",0.125,"n",0.11864406779661,0.0187638515748315,21.1,0,59,0.112756290261972,0.3
"88","17.1","2",0.142857142857143,"n",0.135593220338983,0.0195525215898548,22.7,0,59,0.132907539610102,0.3
"89","18.6","2",0.125,"n",0.11864406779661,0.0211222159463055,23.4,0,59,0.147605906669966,0.3
"90","20","2",0.125,"n",0.11864406779661,0.0216059315627496,24.5,0,59,0.163837334838488,0.3
"91","7.1","0",0,"a",0,0.0126166969070229,11.8,0,59,0.0294004791312352,0.3
"92","8.5","0",0,"a",0,0.0137285494337568,13.1,0,59,0.0369805814277929,0.3
"93","10","0",0,"a",0,0.0149874020586655,14.8,0,59,0.0478786262215596,0.3
"94","11.4","0",0,"a",0,0.016091854273675,16.9,0,59,0.0633729542669127,0.3
"95","12.8","0",0,"a",0,0.0168863661434444,18.5,0,59,0.07864182444528,0.3
"96","14.3","0",0,"a",0,0.0176750537265578,20,0,59,0.0965414913248893,0.3
"97","15.7","0",0,"a",0,0.0187638515748315,21.1,0,59,0.112756290261972,0.3
"98","17.1","0",0,"a",0,0.0195525215898548,22.7,0,59,0.132907539610102,0.3
"99","18.6","0",0,"a",0,0.0211222159463055,23.4,0,59,0.147605906669966,0.3
"100","20","0",0,"a",0,0.0216059315627496,24.5,0,59,0.163837334838488,0.3
"101","7.1","1",0.333333333333333,"a",0.0169491525423729,0.0126166969070229,11.8,0,59,0.0294004791312352,0.3
"102","8.5","1",0.333333333333333,"a",0.0169491525423729,0.0137285494337568,13.1,0,59,0.0369805814277929,0.3
"103","10","1",0,"a",0,0.0149874020586655,14.8,0,59,0.0478786262215596,0.3
"104","11.4","1",0,"a",0,0.016091854273675,16.9,0,59,0.0633729542669127,0.3
"105","12.8","1",0,"a",0,0.0168863661434444,18.5,0,59,0.07864182444528,0.3
"106","14.3","1",0,"a",0,0.0176750537265578,20,0,59,0.0965414913248893,0.3
