"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","dn0","d","dn0_d"
"1","7.1","0",0.6,"n",0.409090909090909,0.0988401335587552,1.9,18.2,22,0.0595301993804354,0.1,1,0.1
"2","8.5","0",0.5,"n",0.315789473684211,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.1,1,0.1
"3","10","0",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.1,1,0.1
"4","11.4","0",0.545454545454545,"n",0.260869565217391,0.100661357125166,2.6,23.7,23,0.114064668269126,0.1,1,0.1
"5","12.8","0",0.538461538461538,"n",0.35,0.138220015456044,2.2,27.4,20,0.145515543798503,0.1,1,0.1
"6","14.3","0",0.5,"n",0.315789473684211,0.155344590940257,1.9,30,19,0.171024081496852,0.1,1,0.1
"7","15.7","0",0.4,"n",0.235294117647059,0.19084284389106,1.3,32.9,17,0.193742425366959,0.1,1,0.1
"8","17.1","0",0.5,"n",0.380952380952381,0.135152819888152,2.8,33.3,21,0.21088187286358,0.1,1,0.1
"9","18.6","0",0.428571428571429,"n",0.315789473684211,0.16559264949017,2.4,36.9,19,0.231232929986498,0.1,1,0.1
"10","20","0",0.384615384615385,"n",0.277777777777778,0.183763903013859,2,39.2,18,0.242195078873512,0.1,1,0.1
"11","7.1","1",0.0666666666666667,"n",0.0454545454545455,0.0988401335587552,1.9,18.2,22,0.0595301993804354,0.1,1,0.1
"12","8.5","1",0.0833333333333333,"n",0.0526315789473684,0.139311428537956,1.3,21.9,19,0.0831983826400026,0.1,1,0.1
"13","10","1",0,"n",0,0.192859815546751,0.6,25.7,16,0.112729240671452,0.1,1,0.1
"14","11.4","1",0,"n",0,0.100661357125166,2.6,23.7,23,0.114064668269126,0.1,1,0.1
"15","12.8","1",0.0769230769230769,"n",0.05,0.138220015456044,2.2,27.4,20,0.145515543798503,0.1,1,0.1
"16","14.3","1",0.0833333333333333,"n",0.0526315789473684,0.155344590940257,1.9,30,19,0.171024081496852,0.1,1,0.1
