"","Wstart","S.cum.riv","G.riv","G.ocean","dur","p0.n","p1.n","p2.n","p0.a","p1.a"," p2.a","dn0"
"1","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,0.1
"2","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.1
"3","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.1
"4","11.4",0.0727762079534437,3.6,13.7,27,0.565217391304348,0.0869565217391304,0.347826086956522,0,0,1,0.1
"5","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,0.1
"6","14.3",0.0876605887090218,3.2,14.8,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0.25,0.75,0.1
"7","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.1
"8","17.1",0.0959788104814027,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.1
"9","18.6",0.0963869011273017,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.1
"10","20",0.0967889582761806,3.4,15.3,24,0.428571428571429,0.19047619047619,0.380952380952381,0,0.333333333333333,0.666666666666667,0.1
"11","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,0.3
"12","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.3
"13","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.3
"14","11.4",0.0878932347270126,3.2,14.4,25,0.6,0,0.4,0,0.2,0.8,0.3
"15","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,0.3
"16","14.3",0.0876605887090218,3.2,14.8,25,0.523809523809524,0.0952380952380952,0.380952380952381,0,0.25,0.75,0.3
"17","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.3
"18","17.1",0.0959788104814027,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.3
"19","18.6",0.0963869011273017,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.3
"20","20",0.0967889582761806,3.4,15.3,24,0.428571428571429,0.19047619047619,0.380952380952381,0,0.333333333333333,0.666666666666667,0.3
"21","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,0.5
"22","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.5
"23","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.5
"24","11.4",0.0878932347270126,3.2,14.4,25,0.6,0,0.4,0,0.2,0.8,0.5
"25","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,0.5
"26","14.3",0.0797963874394652,3.4,14.4,26,0.545454545454545,0.0909090909090909,0.363636363636364,0,0.25,0.75,0.5
"27","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.5
"28","17.1",0.0874000858591923,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,0.5
"29","18.6",0.0963869011273017,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.5
"30","20",0.0881693572914608,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,0.5
"31","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,0.7
"32","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.7
"33","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.7
"34","11.4",0.0878932347270126,3.2,14.4,25,0.6,0,0.4,0,0.2,0.8,0.7
"35","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,0.7
"36","14.3",0.0797963874394652,3.4,14.4,26,0.545454545454545,0.0909090909090909,0.363636363636364,0,0.25,0.75,0.7
"37","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.7
"38","17.1",0.0874000858591923,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,0.7
"39","18.6",0.0963869011273017,3.5,15.3,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.7
"40","20",0.0881693572914608,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,0.7
"41","7.1",0.0876544933811112,3.2,14.1,25,0.6,0,0.4,0,0,1,0.9
"42","8.5",0.0870391389081885,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.9
"43","10",0.0874691537794986,3.2,14.3,25,0.6,0,0.4,0,0.2,0.8,0.9
"44","11.4",0.0878932347270126,3.2,14.4,25,0.6,0,0.4,0,0.2,0.8,0.9
"45","12.8",0.0883121747025667,3.2,14.6,25,0.6,0.05,0.35,0,0,1,0.9
"46","14.3",0.0797963874394652,3.4,14.4,26,0.545454545454545,0.0909090909090909,0.363636363636364,0,0.25,0.75,0.9
"47","15.7",0.0955652587144869,3.5,15.1,24,0.428571428571429,0.238095238095238,0.333333333333333,0,0,1,0.9
"48","17.1",0.0874000858591923,3.7,15,25,0.454545454545455,0.227272727272727,0.318181818181818,0,0,1,0.9
