"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka","kn","kn_ka"
"1","7.1","0",0.2,"n",0.133333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"2","8.5","0",0.375,"n",0.3,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"3","10","0",0.4,"n",0.347826086956522,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"4","11.4","0",0.411764705882353,"n",0.333333333333333,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"5","12.8","0",0.333333333333333,"n",0.263157894736842,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"6","14.3","0",0.555555555555556,"n",0.434782608695652,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"7","15.7","0",0.5,"n",0.380952380952381,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"8","17.1","0",0.384615384615385,"n",0.277777777777778,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"9","18.6","0",0.555555555555556,"n",0.434782608695652,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
"10","20","0",0.619047619047619,"n",0.5,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"11","7.1","1",0,"n",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"12","8.5","1",0.1875,"n",0.15,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"13","10","1",0.25,"n",0.217391304347826,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"14","11.4","1",0.176470588235294,"n",0.142857142857143,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"15","12.8","1",0.2,"n",0.157894736842105,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"16","14.3","1",0.0555555555555556,"n",0.0434782608695652,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"17","15.7","1",0.0625,"n",0.0476190476190476,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"18","17.1","1",0,"n",0,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"19","18.6","1",0,"n",0,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
"20","20","1",0,"n",0,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"21","7.1","2",0.8,"n",0.533333333333333,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"22","8.5","2",0.4375,"n",0.35,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"23","10","2",0.35,"n",0.304347826086957,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"24","11.4","2",0.411764705882353,"n",0.333333333333333,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"25","12.8","2",0.466666666666667,"n",0.368421052631579,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"26","14.3","2",0.388888888888889,"n",0.304347826086957,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"27","15.7","2",0.4375,"n",0.333333333333333,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"28","17.1","2",0.615384615384615,"n",0.444444444444444,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"29","18.6","2",0.444444444444444,"n",0.347826086956522,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
"30","20","2",0.380952380952381,"n",0.307692307692308,0.0890400375614523,6.1,34.8,26,0.242195078873512,0.9,1.3,1.44444444444444
"31","7.1","0",0,"a",0,0.202794793464586,0.4,19.6,15,0.0590637549557212,0.9,1.3,1.44444444444444
"32","8.5","0",0,"a",0,0.122501738726578,1.4,21.1,20,0.0774996901503023,0.9,1.3,1.44444444444444
"33","10","0",0,"a",0,0.09333622520455,3,23.6,23,0.112729240671452,0.9,1.3,1.44444444444444
"34","11.4","0",0,"a",0,0.120224563558313,2.6,26.5,21,0.138634548269411,0.9,1.3,1.44444444444444
"35","12.8","0",0,"a",0,0.149002813797138,2,29,19,0.161135256529652,0.9,1.3,1.44444444444444
"36","14.3","0",0,"a",0,0.107119135764599,3.4,29.7,23,0.184258591645921,0.9,1.3,1.44444444444444
"37","15.7","0",0,"a",0,0.132115240585531,3.1,33,21,0.208881854681059,0.9,1.3,1.44444444444444
"38","17.1","0",0,"a",0,0.179344600014668,1.9,35.8,18,0.222425196947694,0.9,1.3,1.44444444444444
"39","18.6","0",0,"a",0,0.113665473850418,4.3,35.8,23,0.236538023744143,0.9,1.3,1.44444444444444
