"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ka"
"1","7.1","0",0.647058823529412,"n",0.594594594594595,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"2","8.5","0",0.555555555555556,"n",0.5,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"3","10","0",0.428571428571429,"n",0.375,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"4","11.4","0",0.428571428571429,"n",0.375,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"5","12.8","0",0.62962962962963,"n",0.548387096774194,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"6","14.3","0",0.565217391304348,"n",0.481481481481481,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"7","15.7","0",0.612903225806452,"n",0.558823529411765,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"8","17.1","0",0.785714285714286,"n",0.745762711864407,0.00837271996580299,26,0,59,0.155108054166416,0.9
"9","18.6","0",0.785714285714286,"n",0.745762711864407,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"10","20","0",0.818181818181818,"n",0.76271186440678,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"11","7.1","1",0.147058823529412,"n",0.135135135135135,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"12","8.5","1",0.185185185185185,"n",0.166666666666667,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"13","10","1",0.238095238095238,"n",0.208333333333333,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"14","11.4","1",0.238095238095238,"n",0.208333333333333,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"15","12.8","1",0.0740740740740741,"n",0.0645161290322581,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"16","14.3","1",0.0869565217391304,"n",0.0740740740740741,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"17","15.7","1",0.161290322580645,"n",0.147058823529412,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"18","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.00837271996580299,26,0,59,0.155108054166416,0.9
"19","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"20","20","1",0.0545454545454545,"n",0.0508474576271186,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"21","7.1","2",0.205882352941176,"n",0.189189189189189,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"22","8.5","2",0.259259259259259,"n",0.233333333333333,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"23","10","2",0.333333333333333,"n",0.291666666666667,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"24","11.4","2",0.333333333333333,"n",0.291666666666667,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"25","12.8","2",0.296296296296296,"n",0.258064516129032,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"26","14.3","2",0.347826086956522,"n",0.296296296296296,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"27","15.7","2",0.225806451612903,"n",0.205882352941176,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"28","17.1","2",0.125,"n",0.11864406779661,0.00837271996580299,26,0,59,0.155108054166416,0.9
"29","18.6","2",0.125,"n",0.11864406779661,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"30","20","2",0.127272727272727,"n",0.11864406779661,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"31","7.1","0",0,"a",0,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"32","8.5","0",0,"a",0,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"33","10","0",0,"a",0,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"34","11.4","0",0,"a",0,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"35","12.8","0",0,"a",0,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"36","14.3","0",0,"a",0,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"37","15.7","0",0,"a",0,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"38","17.1","0",0,"a",0,0.00837271996580299,26,0,59,0.155108054166416,0.9
"39","18.6","0",0,"a",0,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"40","20","0",0,"a",0,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"41","7.1","1",0,"a",0,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"42","8.5","1",0,"a",0,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"43","10","1",0,"a",0,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"44","11.4","1",0,"a",0,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"45","12.8","1",0.25,"a",0.032258064516129,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"46","14.3","1",0.25,"a",0.037037037037037,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"47","15.7","1",0,"a",0,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"48","17.1","1",0,"a",0,0.00837271996580299,26,0,59,0.155108054166416,0.9
"49","18.6","1",0,"a",0,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"50","20","1",0,"a",0,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"51","7.1","2",1,"a",0.0810810810810811,0.0322956726111356,5.8,12.1,37,0.0494716866754146,0.9
"52","8.5","2",1,"a",0.1,0.0621303365282017,4.3,17.4,30,0.0736545834223382,0.9
"53","10","2",1,"a",0.125,0.109200595956608,3.3,23.2,24,0.112063315447455,0.9
"54","11.4","2",1,"a",0.125,0.113281627146777,3.6,25.2,24,0.137256635097068,0.9
"55","12.8","2",0.75,"a",0.0967741935483871,0.0665319504264153,6.2,22.7,31,0.148256093072167,0.9
"56","14.3","2",0.75,"a",0.111111111111111,0.0947183696493604,5,27.6,27,0.183034129130455,0.9
"57","15.7","2",1,"a",0.0882352941176471,0.0554436967028468,9.3,23.7,34,0.192007222401292,0.9
"58","17.1","2",1,"a",0.0508474576271186,0.00837271996580299,26,0,59,0.155108054166416,0.9
"59","18.6","2",1,"a",0.0508474576271186,0.00865077792983299,27.6,0,59,0.175560206911659,0.9
"60","20","2",1,"a",0.0677966101694915,0.00914133727483675,29.2,0,59,0.187918637536588,0.9
"61","7.1","0",0.6,"n",0.48,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"62","8.5","0",0.6,"n",0.517241379310345,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"63","10","0",0.454545454545455,"n",0.4,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"64","11.4","0",0.428571428571429,"n",0.375,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"65","12.8","0",0.62962962962963,"n",0.548387096774194,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"66","14.3","0",0.565217391304348,"n",0.481481481481481,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
"67","15.7","0",0.666666666666667,"n",0.588235294117647,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
"68","17.1","0",0.818181818181818,"n",0.76271186440678,0.00843710959424007,26,0,59,0.155782896525993,1
"69","18.6","0",0.851851851851852,"n",0.779661016949153,0.00881927822177381,27.2,0,59,0.173638912815901,1
"70","20","0",0.818181818181818,"n",0.76271186440678,0.00910285006170468,28.5,0,59,0.189728834394545,1
"71","7.1","1",0.05,"n",0.04,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"72","8.5","1",0.12,"n",0.103448275862069,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"73","10","1",0.227272727272727,"n",0.2,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"74","11.4","1",0.238095238095238,"n",0.208333333333333,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"75","12.8","1",0.111111111111111,"n",0.0967741935483871,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"76","14.3","1",0.130434782608696,"n",0.111111111111111,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
"77","15.7","1",0.1,"n",0.0882352941176471,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
"78","17.1","1",0.0545454545454545,"n",0.0508474576271186,0.00843710959424007,26,0,59,0.155782896525993,1
"79","18.6","1",0.0185185185185185,"n",0.0169491525423729,0.00881927822177381,27.2,0,59,0.173638912815901,1
"80","20","1",0.0363636363636364,"n",0.0338983050847458,0.00910285006170468,28.5,0,59,0.189728834394545,1
"81","7.1","2",0.35,"n",0.28,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1
"82","8.5","2",0.28,"n",0.241379310344828,0.0680384315753413,4.1,18.2,29,0.0774996901503023,1
"83","10","2",0.318181818181818,"n",0.28,0.100635511481372,3.6,22.8,25,0.112063315447455,1
"84","11.4","2",0.333333333333333,"n",0.291666666666667,0.113281627146777,3.6,25.2,24,0.137256635097068,1
"85","12.8","2",0.259259259259259,"n",0.225806451612903,0.0666138954538422,6.4,22.7,31,0.148256093072167,1
"86","14.3","2",0.304347826086957,"n",0.259259259259259,0.0949821342605709,5.3,27.6,27,0.183034129130455,1
"87","15.7","2",0.233333333333333,"n",0.205882352941176,0.0560104551876394,9.2,23.7,34,0.191424223305194,1
