"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"1","7.1","0",0,"n",0,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"2","8.5","0",0.166666666666667,"n",0.05,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"3","10","0",0.545454545454545,"n",0.315789473684211,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"4","11.4","0",0,"n",0,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
"5","12.8","0",0.333333333333333,"n",0.2,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"6","14.3","0",0,"n",0,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"7","15.7","0",0.384615384615385,"n",0.277777777777778,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"8","17.1","0",0.466666666666667,"n",0.304347826086957,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"9","18.6","0",0.466666666666667,"n",0.35,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"10","20","0",0.555555555555556,"n",0.434782608695652,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"11","7.1","1",0,"n",0,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"12","8.5","1",0,"n",0,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"13","10","1",0.0909090909090909,"n",0.0526315789473684,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"14","11.4","1",0.333333333333333,"n",0.0952380952380952,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
"15","12.8","1",0.0833333333333333,"n",0.05,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"16","14.3","1",0.125,"n",0.0555555555555556,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"17","15.7","1",0.0769230769230769,"n",0.0555555555555556,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"18","17.1","1",0.0666666666666667,"n",0.0434782608695652,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"19","18.6","1",0.0666666666666667,"n",0.05,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"20","20","1",0.0555555555555556,"n",0.0434782608695652,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"21","7.1","2",1,"n",0.363636363636364,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"22","8.5","2",0.833333333333333,"n",0.25,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"23","10","2",0.363636363636364,"n",0.210526315789474,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"24","11.4","2",0.666666666666667,"n",0.19047619047619,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
"25","12.8","2",0.583333333333333,"n",0.35,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"26","14.3","2",0.875,"n",0.388888888888889,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"27","15.7","2",0.538461538461538,"n",0.388888888888889,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"28","17.1","2",0.466666666666667,"n",0.304347826086957,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"29","18.6","2",0.466666666666667,"n",0.35,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"30","20","2",0.388888888888889,"n",0.304347826086957,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"31","7.1","0",0.642857142857143,"a",0.409090909090909,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"32","8.5","0",0.428571428571429,"a",0.3,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"33","10","0",0,"a",0,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"34","11.4","0",0.4,"a",0.285714285714286,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
"35","12.8","0",0.375,"a",0.15,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"36","14.3","0",0.5,"a",0.277777777777778,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"37","15.7","0",0,"a",0,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"38","17.1","0",0.375,"a",0.130434782608696,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"39","18.6","0",0,"a",0,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"40","20","0",0,"a",0,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"41","7.1","1",0,"a",0,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"42","8.5","1",0.0714285714285714,"a",0.05,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"43","10","1",0,"a",0,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"44","11.4","1",0.2,"a",0.142857142857143,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
"45","12.8","1",0,"a",0,0.159485331782494,1.7,27.8,20,0.148940675893818,0.9
"46","14.3","1",0,"a",0,0.188538796742828,1.5,31.5,18,0.18180159202578,0.9
"47","15.7","1",0,"a",0,0.202544412447105,1,32.5,18,0.193166338484406,0.9
"48","17.1","1",0,"a",0,0.131830030895508,2.5,32.3,23,0.21088187286358,0.9
"49","18.6","1",0,"a",0,0.176486033403072,1.5,36.3,20,0.230483447571069,0.9
"50","20","1",0,"a",0,0.141873172078979,3,34.9,23,0.231232929986498,0.9
"51","7.1","2",0.357142857142857,"a",0.227272727272727,0.107281045670137,1.8,18.2,22,0.0590637549557212,0.9
"52","8.5","2",0.5,"a",0.35,0.135226267962365,1.5,20.9,20,0.0758369562434244,0.9
"53","10","2",1,"a",0.421052631578947,0.164323663675826,1.2,23.8,19,0.101598148942839,0.9
"54","11.4","2",0.4,"a",0.285714285714286,0.125785129221045,2.4,26.4,21,0.137256635097068,0.9
