"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W"
"1",1,"7.1",1,"a",0.898505281250929,0.000710341688122202,0,0.898505281250929,7.1
"2",2,"7.1",1,"a",0.898505281250929,0.000779430673658668,0,0.80731174043581,7.3
"3",3,"7.1",1,"a",0.898505281250929,0.00085627005624096,0,0.725373862397454,7.5
"4",4,"7.1",1,"a",0.898505281250929,0.000939625772596308,0,0.651752246245497,7.7
"5",5,"7.1",1,"a",0.898505281250929,0.0010356013391191,0,0.585602835318735,7.9
"6",6,"7.1",1,"a",0.898505281250929,0.00113797874707029,0,0.526167240249401,8.1
"7",7,"7.1",1,"a",0.898505281250929,0.00124850043295088,2,0.472764044185313,8.3
"8",8,"7.1",3,"n",0.898505281250929,0.00138074394916216,2,0.424780990486051,8.4
"9",9,"7.1",5,"a",0.898505281250929,0.00152935709648544,2,0.381667963326717,8.5
"10",10,"7.1",7,"n",0.898505281250929,0.00168941948373767,2,0.342930680733341,8.6
"11",11,"7.1",9,"n",0.898505281250929,0.00186166780908281,2,0.308125027741883,8.7
"12",12,"7.1",11,"a",0.898505281250929,0.00204438405860335,2,0.276851964711671,8.8
"13",13,"7.1",13,"n",0.898505281250929,0.00218794308046682,0,0.248752952418132,8.9
"14",14,"7.1",13,"n",0.898505281250929,0.00238617418995824,2,0.223505841474452,9.1
"15",15,"7.1",15,"n",0.898505281250929,0.00254443941954276,2,0.200821178955228,9.2
"16",16,"7.1",17,"n",0.898505281250929,0.00275973601128694,2,0.18043888987831,9.3
"17",17,"7.1",19,"a",0.898505281250929,0.00302309487208626,2,0.162125295498717,9.4
"18",18,"7.1",21,"n",0.898505281250929,0.00322374261535535,2,0.145670434229964,9.5
"19",19,"7.1",23,"n",0.898505281250929,0.00354126923776608,0,0.130885654477739,9.6
"20",20,"7.1",23,"n",0.898505281250929,0.00382252635129557,2,0.117601451788233,9.8
"21",21,"7.1",25,"a",0.898505281250929,0.00422489824101322,2,0.105665525514504,9.9
"22",22,"7.1",26,"o",0.898505281250929,0.00446679208415502,0,0.0949410327209362,10
"23",23,"7.1",26,"o",0.898505281250929,0.00457167259630762,0,0.0853050193071784,10.3
"24",24,"7.1",26,"o",0.898505281250929,0.0048766675999576,0,0.0766470103647122,10.6
"25",25,"7.1",26,"o",0.898505281250929,0.00486595298437776,0,0.0688677436047886,10.9
"26",26,"7.1",26,"o",0.898505281250929,0.00511439403778233,0,0.0618780313367374,11.2
"27",27,"7.1",26,"o",0.898505281250929,0.00521870748819877,0,0.055597737949469,11.5
"28",28,"7.1",26,"o",0.898505281250929,0.0053354628610295,0,0.0499548611732031,11.9
"29",29,"7.1",26,"o",0.898505281250929,0.00524825426099598,0,0.0448847065882799,12.3
"30",30,"7.1",26,"o",0.898505281250929,0.00520313365908926,0,0.0403291459169679,12.7
"31",31,"7.1",26,"o",0.898505281250929,0.00521970262448607,0,0.0362359505947349,13.1
"32",32,"7.1",26,"o",0.898505281250929,0.00516229975194332,0,0.0325581929805171,13.5
"33",33,"7.1",26,"o",0.898505281250929,0.0049357916535786,0,0.0292537083409815,13.9
"34",34,"7.1",26,"o",0.898505281250929,0.00510025858503029,0,0.0262846114405462,14.3
"35",35,"7.1",26,"o",0.898505281250929,0.00503580606039387,0,0.0236168621949593,14.8
"36",36,"7.1",26,"o",0.898505281250929,0.00484012347673509,0,0.0212198754087464,15.3
"37",37,"7.1",26,"o",0.898505281250929,0.00488522026574869,0,0.0190661701222453,15.8
"38",38,"7.1",26,"o",0.898505281250929,0.00453652131707639,0,0.0171310545480661,16.3
"39",39,"7.1",26,"o",0.898505281250929,0.00469011644300175,0,0.0153923429848351,16.8
"40",40,"7.1",26,"o",0.898505281250929,0.00471486183058092,0,0.0138301014627,17.3
"41",41,"7.1",26,"o",0.898505281250929,0.00443013183223958,0,0.0124264192044722,17.8
"42",42,"7.1",26,"o",0.898505281250929,0.00457671405555446,0,0.0111652032822562,18.3
"43",43,"7.1",26,"o",0.898505281250929,0.00467867425527126,0,0.0100319941153474,18.8
"44",44,"7.1",26,"o",0.898505281250929,0.00446627672328952,0,0.00901379969411788,19.3
"45",45,"7.1",26,"o",0.898505281250929,0.0046590406061209,0,0.00809894662930292,19.8
"46",46,"7.1",26,"o",0.898505281250929,0.00486036699394018,0,0.00727694631899808,20.3
"47",47,"7.1",26,"o",0.898505281250929,0.00501571665752145,0,0.00653837469899928,20.8
"48",48,"7.1",26,"o",0.898505281250929,0.00491864919383731,0,0.0058747641978483,21.2
"49",49,"7.1",26,"o",0.898505281250929,0.00523790912620884,0,0.00527850665787057,21.6
"50",50,"7.1",26,"o",0.898505281250929,0.00552720129340375,0,0.0047427661092149,22
"51",51,"7.1",26,"o",0.898505281250929,0.00583366634694483,0,0.0042614003968675,22.4
"52",52,"7.1",26,"o",0.898505281250929,0.00615838009890481,0,0.00382889076211026,22.8
"53",53,"7.1",26,"o",0.898505281250929,0.00637035288532449,0,0.00344027857108896,23.2
"54",54,"7.1",26,"o",0.898505281250929,0.00679569472223698,0,0.00309110846509783,23.6
"55",55,"7.1",26,"o",0.898505281250929,0.0073295098563392,0,0.00277737728080985,23.9
"56",56,"7.1",26,"o",0.898505281250929,0.00790876716132968,0,0.00249548815483399,24.2
"57",57,"7.1",26,"o",0.898505281250929,0.00853780907055864,0,0.00224220928641748,24.5
"58",58,"7.1",26,"o",0.898505281250929,0.00922146330397675,0,0.00201463688551598,24.8
"59",59,"7.1",26,"o",0.898505281250929,0.00986958497301749,0,0.00181016188143903,25.1
"60",60,"7.1",26,"o",NA,NA,NA,NA,25.3
"61",1,"8.5",1,"a",0.898685911298887,0.000713932469870583,0,0.898685911298887,8.5
"62",2,"8.5",1,"a",0.898685911298887,0.000786711263580148,0,0.807636367167111,8.7
"63",3,"8.5",1,"a",0.898685911298887,0.000862258632844514,0,0.725811424625698,8.9
"64",4,"8.5",1,"a",0.898685911298887,0.00094616699547848,0,0.652276501570888,9.1
"65",5,"8.5",1,"a",0.898685911298887,0.00104073693871993,0,0.586191702233084,9.3
"66",6,"8.5",1,"a",0.898685911298887,0.00114608228347541,0,0.526802224117185,9.5
"67",7,"8.5",1,"a",0.898685911298887,0.00126058903225325,2,0.473429736855033,9.7
"68",8,"8.5",3,"n",0.898685911298887,0.00138953043349136,2,0.425464634501557,9.8
"69",9,"8.5",5,"a",0.898685911298887,0.00153671211285463,2,0.38235907278248,9.9
"70",10,"8.5",7,"n",0.898685911298887,0.00170211252888377,2,0.34362071176692,10
"71",11,"8.5",9,"n",0.898685911298887,0.00188025548540527,2,0.308807092495427,10.1
"72",12,"8.5",11,"a",0.898685911298887,0.00207196089764874,2,0.277520583334812,10.2
"73",13,"8.5",13,"n",0.898685911298887,0.00227531668568168,2,0.249403838338445,10.3
"74",14,"8.5",15,"n",0.898685911298887,0.0024346118562029,0,0.224135715738625,10.4
"75",15,"8.5",15,"n",0.898685911298887,0.00265571526372792,2,0.201427609953195,10.6
"76",16,"8.5",17,"n",0.898685911298887,0.00283185805652729,2,0.181020155211544,10.7
"77",17,"8.5",19,"a",0.898685911298887,0.00307147444636579,2,0.162680263149752,10.8
"78",18,"8.5",21,"n",0.898685911298887,0.00336458219575227,2,0.146198460539078,10.9
"79",19,"8.5",23,"n",0.898685911298887,0.00358789501032998,2,0.131386496740055,11
"80",20,"8.5",25,"a",0.898685911298887,0.00394051204953302,0,0.118075193555205,11.1
"81",21,"8.5",25,"a",0.898685911298887,0.00425431706530842,2,0.106112512921952,11.3
"82",22,"8.5",26,"o",0.898685911298887,0.00470214068762198,0,0.0953618203754792,11.4
"83",23,"8.5",26,"o",0.898685911298887,0.00460562453236326,0,0.0857003244472583,11.7
"84",24,"8.5",26,"o",0.898685911298887,0.00493844844574456,0,0.0770176741744946,12
"85",25,"8.5",26,"o",0.898685911298887,0.00493892268247118,0,0.0692146987016264,12.3
"86",26,"8.5",26,"o",0.898685911298887,0.00515565021150929,0,0.062202274577949,12.6
"87",27,"8.5",26,"o",0.898685911298887,0.00530036524564242,0,0.0559003078139477,12.9
"88",28,"8.5",26,"o",0.898685911298887,0.00548559022828176,0,0.0502368190696659,13.3
"89",29,"8.5",26,"o",0.898685911298887,0.00536962018911133,0,0.04514712152638,13.7
"90",30,"8.5",26,"o",0.898685911298887,0.00544400364292252,0,0.0405730820514564,14.1
"91",31,"8.5",26,"o",0.898685911298887,0.00526903585190806,0,0.0364624572176176,14.5
"92",32,"8.5",26,"o",0.898685911298887,0.00534001825027158,0,0.0327682965928114,14.9
"93",33,"8.5",26,"o",0.898685911298887,0.00536510505785365,0,0.0294484064852229,15.3
"94",34,"8.5",26,"o",0.898685911298887,0.00519281482474157,0,0.0264648680184726,15.8
"95",35,"8.5",26,"o",0.898685911298887,0.00518115562943551,0,0.0237836040325858,16.3
"96",36,"8.5",26,"o",0.898685911298887,0.00497725757437079,0,0.0213739898639963,16.8
"97",37,"8.5",26,"o",0.898685911298887,0.00493701575062447,0,0.0192085035590187,17.3
"98",38,"8.5",26,"o",0.898685911298887,0.00484374113821513,0,0.0172624115256246,17.8
"99",39,"8.5",26,"o",0.898685911298887,0.00474113729467963,0,0.0155134860331223,18.3
"100",40,"8.5",26,"o",0.898685911298887,0.00476649131960127,0,0.0139417513330991,18.8
"101",41,"8.5",26,"o",0.898685911298887,0.00452657169222719,0,0.0125292555018886,19.3
"102",42,"8.5",26,"o",0.898685911298887,0.00462761944726342,0,0.0112598653986114,19.8
"103",43,"8.5",26,"o",0.898685911298887,0.00473081414049427,0,0.0101190823968539,20.3
"104",44,"8.5",26,"o",0.898685911298887,0.00451652553429931,0,0.00909387678532516,20.8
"105",45,"8.5",26,"o",0.898685911298887,0.00475556461323789,0,0.00817253894605973,21.3
"106",46,"8.5",26,"o",0.898685911298887,0.00496152626144016,0,0.00734454561036534,21.8
"107",47,"8.5",26,"o",0.898685911298887,0.00512715926034517,0,0.00660043966492741,22.3
"108",48,"8.5",26,"o",0.898685911298887,0.00497385667064439,0,0.00593172213524861,22.8
"109",49,"8.5",26,"o",0.898685911298887,0.00529626025762982,0,0.00533075511268768,23.2
"110",50,"8.5",26,"o",0.898685911298887,0.00558830610886545,0,0.00479067451635693,23.6
"111",51,"8.5",26,"o",0.898685911298887,0.005897634081805,0,0.00430531169346858,24
