"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","qa","qn","qn_qa"
"1","7.1","0",0.619047619047619,"n",0.5,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"2","8.5","0",0.6,"n",0.48,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"3","10","0",0.6,"n",0.48,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"4","11.4","0",0.6,"n",0.48,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"5","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"6","14.3","0",0.545454545454545,"n",0.461538461538462,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"7","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"8","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"9","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"10","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"11","7.1","1",0,"n",0,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"12","8.5","1",0,"n",0,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"13","10","1",0,"n",0,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"14","11.4","1",0,"n",0,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"15","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"16","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"17","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
