"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","qa"
"1","7.1","0",0.619047619047619,"n",0.5,0.0797136571941524,3.4,13.8,26,0.5
"2","8.5","0",0.6,"n",0.48,0.0880958824485456,3.2,14.3,25,0.5
"3","10","0",0.6,"n",0.48,0.0885311075984768,3.2,14.3,25,0.5
"4","11.4","0",0.6,"n",0.48,0.0889603268756604,3.2,14.4,25,0.5
"5","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.5
"6","14.3","0",0.545454545454545,"n",0.461538461538462,0.0807651592159544,3.4,14.4,26,0.5
"7","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.5
"8","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.5
"9","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.5
"10","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.5
"11","7.1","1",0,"n",0,0.0797136571941524,3.4,13.8,26,0.5
"12","8.5","1",0,"n",0,0.0880958824485456,3.2,14.3,25,0.5
"13","10","1",0,"n",0,0.0885311075984768,3.2,14.3,25,0.5
"14","11.4","1",0,"n",0,0.0889603268756604,3.2,14.4,25,0.5
"15","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.5
"16","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0807651592159544,3.4,14.4,26,0.5
"17","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.5
"18","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.5
"19","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.5
"20","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.5
"21","7.1","2",0.380952380952381,"n",0.307692307692308,0.0797136571941524,3.4,13.8,26,0.5
"22","8.5","2",0.4,"n",0.32,0.0880958824485456,3.2,14.3,25,0.5
"23","10","2",0.4,"n",0.32,0.0885311075984768,3.2,14.3,25,0.5
"24","11.4","2",0.4,"n",0.32,0.0889603268756604,3.2,14.4,25,0.5
"25","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.5
"26","14.3","2",0.363636363636364,"n",0.307692307692308,0.0807651592159544,3.4,14.4,26,0.5
"27","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.5
"28","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.5
"29","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.5
"30","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.5
"31","7.1","0",0,"a",0,0.0797136571941524,3.4,13.8,26,0.5
"32","8.5","0",0,"a",0,0.0880958824485456,3.2,14.3,25,0.5
"33","10","0",0,"a",0,0.0885311075984768,3.2,14.3,25,0.5
"34","11.4","0",0,"a",0,0.0889603268756604,3.2,14.4,25,0.5
"35","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.5
"36","14.3","0",0,"a",0,0.0807651592159544,3.4,14.4,26,0.5
