"","Wstart","S.cum.riv","G.riv","G.ocean","dur","p0.n","p1.n","p2.n","p0.a","p1.a"," p2.a","qn"
"1","7.1",0.116368825036374,1.9,15.3,21,0.444444444444444,0.111111111111111,0.444444444444444,0.333333333333333,0,0.666666666666667,0.5
"2","8.5",0.116860976361726,1.9,15.5,21,0.444444444444444,0.111111111111111,0.444444444444444,0.333333333333333,0,0.666666666666667,0.5
"3","10",0.132132262658947,1.6,15.7,20,0.5,0,0.5,0.2,0.1,0.7,0.5
"4","11.4",0.119252433522394,1.8,15.6,21,0.5,0,0.5,0.272727272727273,0.0909090909090909,0.636363636363636,0.5
"5","12.8",0.136401163207502,1.4,16.1,20,0.5,0.0833333333333333,0.416666666666667,0.125,0,0.875,0.5
"6","14.3",0.138572050499249,1.3,16.3,20,0.538461538461538,0.0769230769230769,0.384615384615385,0,0,1,0.5
"7","15.7",0.142474983830089,1.1,16.3,20,0.466666666666667,0,0.533333333333333,0,0.2,0.8,0.5
"8","17.1",0.157023574093237,1,16.7,19,0.428571428571429,0,0.571428571428571,0,0.2,0.8,0.5
"9","18.6",0.129125675199706,1.4,16.2,21,0.533333333333333,0,0.466666666666667,0,0.166666666666667,0.833333333333333,0.5
"10","20",0.131170045673464,1.2,16.2,21,0.5,0,0.5,0,0.2,0.8,0.5
"11","7.1",0.116368825036374,2,15.3,21,0.444444444444444,0.111111111111111,0.444444444444444,0.333333333333333,0,0.666666666666667,0.6
"12","8.5",0.118278926537477,1.9,15.5,21,0.5,0.1,0.4,0.272727272727273,0,0.727272727272727,0.6
"13","10",0.133736466596882,1.6,15.7,20,0.545454545454545,0.0909090909090909,0.363636363636364,0.111111111111111,0,0.888888888888889,0.6
"14","11.4",0.135883989213905,1.5,15.9,20,0.5,0.0833333333333333,0.416666666666667,0.125,0,0.875,0.6
"15","12.8",0.136401163207502,1.5,16.1,20,0.5,0.0833333333333333,0.416666666666667,0.125,0,0.875,0.6
"16","14.3",0.140253370369263,1.3,16.3,20,0.5,0.0714285714285714,0.428571428571429,0,0,1,0.6
"17","15.7",0.142476020572097,1.2,16.3,20,0.466666666666667,0.0666666666666667,0.466666666666667,0,0,1,0.6
"18","17.1",0.141275530469039,1.3,16.5,20,0.428571428571429,0.0714285714285714,0.5,0.166666666666667,0,0.833333333333333,0.6
"19","18.6",0.129126614769805,1.4,16.2,21,0.533333333333333,0.0666666666666667,0.4,0,0,1,0.6
"20","20",0.143995569718019,1.2,16.5,20,0.466666666666667,0.0666666666666667,0.466666666666667,0,0,1,0.6
"21","7.1",0.116368825036374,2,15.3,21,0.444444444444444,0.111111111111111,0.444444444444444,0.333333333333333,0,0.666666666666667,0.7
"22","8.5",0.118278926537477,1.9,15.5,21,0.5,0.1,0.4,0.272727272727273,0,0.727272727272727,0.7
"23","10",0.133736466596882,1.6,15.7,20,0.545454545454545,0.0909090909090909,0.363636363636364,0.111111111111111,0,0.888888888888889,0.7
"24","11.4",0.135883989213905,1.5,15.9,20,0.5,0.0833333333333333,0.416666666666667,0.125,0,0.875,0.7
"25","12.8",0.136401163207502,1.5,16.1,20,0.5,0.0833333333333333,0.416666666666667,0.125,0,0.875,0.7
"26","14.3",0.138572050499249,1.4,16.3,20,0.461538461538462,0.0769230769230769,0.461538461538462,0.142857142857143,0,0.857142857142857,0.7
"27","15.7",0.139080597104346,1.4,16.3,20,0.384615384615385,0.0769230769230769,0.538461538461538,0.285714285714286,0,0.714285714285714,0.7
"28","17.1",0.137908746460288,1.5,16.5,20,0.333333333333333,0.0833333333333333,0.583333333333333,0.375,0,0.625,0.7
"29","18.6",0.124538376757262,1.7,16.2,21,0.416666666666667,0.0833333333333333,0.5,0.333333333333333,0,0.666666666666667,0.7
"30","20",0.137214253152647,1.6,16.5,20,0.272727272727273,0.0909090909090909,0.636363636363636,0.444444444444444,0,0.555555555555556,0.7
"31","7.1",0.112233601616312,2.3,15.3,21,0.166666666666667,0.166666666666667,0.666666666666667,0.466666666666667,0,0.533333333333333,0.8
"32","8.5",0.111357136566345,2.4,15.5,21,0,0.2,0.8,0.5,0,0.5,0.8
"33","10",0.100510201457987,2.6,15.2,22,0,0.2,0.8,0.529411764705882,0,0.470588235294118,0.8
"34","11.4",0.107213150016103,2.1,15.3,22,0.5,0.1,0.4,0.333333333333333,0,0.666666666666667,0.8
"35","12.8",0.136401163207502,1.5,16.1,20,0.583333333333333,0.0833333333333333,0.333333333333333,0,0,1,0.8
"36","14.3",0.0855721053674775,3.2,14.8,25,0.705882352941177,0.0588235294117647,0.235294117647059,0,0,1,0.8
"37","15.7",0.085964202391257,3.2,14.8,25,0.705882352941177,0,0.294117647058824,0,0.125,0.875,0.8
"38","17.1",0.0874000858591923,3.1,15,25,0.666666666666667,0.0555555555555556,0.277777777777778,0,0,1,0.8
"39","18.6",0.0655285212935328,3.8,13.8,28,0.75,0,0.25,0,0.125,0.875,0.8
"40","20",0.0697165181924295,3.7,14.2,27,0.722222222222222,0,0.277777777777778,0,0.333333333333333,0.666666666666667,0.8
"41","7.1",0.0876544933811112,3.6,14.1,25,0.6,0,0.4,0,0,1,0.9
"42","8.5",0.0880958824485456,3.6,14.3,25,0.6,0,0.4,0,0,1,0.9
"43","10",0.0885311075984768,3.6,14.3,25,0.6,0,0.4,0,0,1,0.9
"44","11.4",0.0889603268756604,3.6,14.4,25,0.6,0,0.4,0,0,1,0.9
"45","12.8",0.089383692418775,3.6,14.6,25,0.6,0,0.4,0,0,1,0.9
"46","14.3",0.0986515746662332,3.4,15.1,24,0.578947368421053,0,0.421052631578947,0,0,1,0.9
"47","15.7",0.0978976145741566,3.4,15.1,24,0.578947368421053,0,0.421052631578947,0,0.2,0.8,0.9
"48","17.1",0.0983212381194813,3.4,15.3,24,0.578947368421053,0,0.421052631578947,0,0.2,0.8,0.9
"49","18.6",0.0987392674521335,3.4,15.3,24,0.578947368421053,0,0.421052631578947,0,0.2,0.8,0.9
"50","20",0.100355551961337,3.4,15.3,24,0.578947368421053,0,0.421052631578947,0,0,1,0.9
