"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","seeds"
"1","7.1","0",0.578947368421053,"n",0.458333333333333,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"2","8.5","0",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"3","10","0",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"4","11.4","0",0.5,"n",0.444444444444444,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"5","12.8","0",0.454545454545455,"n",0.4,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"6","14.3","0",0.4,"n",0.347826086956522,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"7","15.7","0",0.538461538461538,"n",0.482758620689655,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"8","17.1","0",0.545454545454545,"n",0.461538461538462,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"9","18.6","0",0.733333333333333,"n",0.628571428571429,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"10","20","0",0.675675675675676,"n",0.625,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
"11","7.1","1",0.0526315789473684,"n",0.0416666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"12","8.5","1",0.294117647058824,"n",0.25,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"13","10","1",0.25,"n",0.210526315789474,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"14","11.4","1",0.208333333333333,"n",0.185185185185185,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"15","12.8","1",0.227272727272727,"n",0.2,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"16","14.3","1",0.25,"n",0.217391304347826,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"17","15.7","1",0.153846153846154,"n",0.137931034482759,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"18","17.1","1",0.0909090909090909,"n",0.0769230769230769,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"19","18.6","1",0.0333333333333333,"n",0.0285714285714286,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"20","20","1",0.135135135135135,"n",0.125,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
"21","7.1","2",0.368421052631579,"n",0.291666666666667,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"22","8.5","2",0.411764705882353,"n",0.35,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"23","10","2",0.5,"n",0.421052631578947,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"24","11.4","2",0.291666666666667,"n",0.259259259259259,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"25","12.8","2",0.318181818181818,"n",0.28,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"26","14.3","2",0.35,"n",0.304347826086957,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"27","15.7","2",0.307692307692308,"n",0.275862068965517,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"28","17.1","2",0.363636363636364,"n",0.307692307692308,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"29","18.6","2",0.233333333333333,"n",0.2,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"30","20","2",0.189189189189189,"n",0.175,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
"31","7.1","0",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"32","8.5","0",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"33","10","0",0,"a",0,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"34","11.4","0",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"35","12.8","0",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"36","14.3","0",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"37","15.7","0",0,"a",0,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"38","17.1","0",0,"a",0,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"39","18.6","0",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"40","20","0",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
"41","7.1","1",0,"a",0,0.0989203269419862,2.3,17.6,24,0.0581388249819421,1
"42","8.5","1",0,"a",0,0.146421904542962,1.4,21.2,20,0.0786203689154736,1
"43","10","1",0.333333333333333,"a",0.0526315789473684,0.165770478707071,1.1,24.1,19,0.104828335740565,1
"44","11.4","1",0,"a",0,0.0877406269739273,4.2,22.7,27,0.124208680632935,1
"45","12.8","1",0,"a",0,0.10711770591472,3.9,26.3,25,0.15642671783744,1
"46","14.3","1",0,"a",0,0.129430191417859,3.3,29.7,23,0.184258591645921,1
"47","15.7","1",0.333333333333333,"a",0.0344827586206897,0.0811353650406307,5.7,27.1,29,0.192587932536918,1
"48","17.1","1",0.25,"a",0.0384615384615385,0.106738247744405,4.8,31.4,26,0.217550925851053,1
"49","18.6","1",0,"a",0,0.0538198960616797,9.5,24.5,35,0.21088187286358,1
"50","20","1",0,"a",0,0.0368805051294322,12.3,20.1,40,0.21088187286358,1
