"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","ya","yn","yn_ya"
"1","7.1","0",0,"n",0,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"2","8.5","0",0,"n",0,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"3","10","0",0,"n",0,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"4","11.4","0",0,"n",0,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"5","12.8","0",0,"n",0,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"6","14.3","0",0,"n",0,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
"7","15.7","0",0,"n",0,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"8","17.1","0",0,"n",0,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"9","18.6","0",0,"n",0,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"10","20","0",0,"n",0,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"11","7.1","1",0,"n",0,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"12","8.5","1",0,"n",0,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"13","10","1",0,"n",0,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"14","11.4","1",0,"n",0,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"15","12.8","1",0,"n",0,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"16","14.3","1",0,"n",0,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
"17","15.7","1",0,"n",0,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"18","17.1","1",0,"n",0,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"19","18.6","1",0,"n",0,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"20","20","1",0,"n",0,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"24","11.4","2",1,"n",0.0847457627118644,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"25","12.8","2",1,"n",0.0847457627118644,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"26","14.3","2",1,"n",0.0847457627118644,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
"27","15.7","2",1,"n",0.0847457627118644,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"28","17.1","2",1,"n",0.0847457627118644,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"31","7.1","0",0.777777777777778,"a",0.711864406779661,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"32","8.5","0",0.777777777777778,"a",0.711864406779661,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"33","10","0",0.833333333333333,"a",0.76271186440678,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"34","11.4","0",0.851851851851852,"a",0.779661016949153,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"35","12.8","0",0.851851851851852,"a",0.779661016949153,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"36","14.3","0",0.833333333333333,"a",0.76271186440678,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
"37","15.7","0",0.833333333333333,"a",0.76271186440678,0.376374600130889,11.5,0,59,0.0650977066945609,0.1,1,10
"38","17.1","0",0.851851851851852,"a",0.779661016949153,0.378739537377655,13.1,0,59,0.0799525220353256,0.1,1,10
"39","18.6","0",0.851851851851852,"a",0.779661016949153,0.380164925569786,14.1,0,59,0.0953819835275463,0.1,1,10
"40","20","0",0.851851851851852,"a",0.779661016949153,0.381029324435353,14.6,0,59,0.108089654732809,0.1,1,10
"41","7.1","1",0.166666666666667,"a",0.152542372881356,0.338831828573999,7.6,0,59,0.0220962203614248,0.1,1,10
"42","8.5","1",0.166666666666667,"a",0.152542372881356,0.343131628967681,9,0,59,0.028554501382263,0.1,1,10
"43","10","1",0.0555555555555556,"a",0.0508474576271186,0.350806909474229,9.8,0,59,0.035070570142235,0.1,1,10
"44","11.4","1",0.0185185185185185,"a",0.0169491525423729,0.370598733731429,10.6,0,59,0.0379988247240986,0.1,1,10
"45","12.8","1",0.0185185185185185,"a",0.0169491525423729,0.3740924079405,10.9,0,59,0.0455224359084534,0.1,1,10
"46","14.3","1",0.0555555555555556,"a",0.0508474576271186,0.374881071789242,10.8,0,59,0.0550496586942713,0.1,1,10
