"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya","yn","yn_ya"
"1","7.1","0",0,"n",0,0.345213052788458,5.5,0,59,0.1,1,10
"2","8.5","0",0,"n",0,0.345935318481183,5.5,0,59,0.1,1,10
"3","10","0",0,"n",0,0.346645431853015,5.5,0,59,0.1,1,10
"4","11.4","0",0,"n",0,0.347343752451104,5.5,0,59,0.1,1,10
"5","12.8","0",0,"n",0,0.348030624663203,5.5,0,59,0.1,1,10
"6","14.3","0",0,"n",0,0.348706378543631,5.5,0,59,0.1,1,10
"7","15.7","0",0,"n",0,0.34937133058434,5.5,0,59,0.1,1,10
"8","17.1","0",0,"n",0,0.350025784435286,5.5,0,59,0.1,1,10
"9","18.6","0",0,"n",0,0.350670031578052,5.5,0,59,0.1,1,10
"10","20","0",0,"n",0,0.351304351956337,5.5,0,59,0.1,1,10
"11","7.1","1",0,"n",0,0.345213052788458,5.5,0,59,0.1,1,10
"12","8.5","1",0,"n",0,0.345935318481183,5.5,0,59,0.1,1,10
"13","10","1",0,"n",0,0.346645431853015,5.5,0,59,0.1,1,10
"14","11.4","1",0,"n",0,0.347343752451104,5.5,0,59,0.1,1,10
"15","12.8","1",0,"n",0,0.348030624663203,5.5,0,59,0.1,1,10
"16","14.3","1",0,"n",0,0.348706378543631,5.5,0,59,0.1,1,10
"17","15.7","1",0,"n",0,0.34937133058434,5.5,0,59,0.1,1,10
"18","17.1","1",0,"n",0,0.350025784435286,5.5,0,59,0.1,1,10
"19","18.6","1",0,"n",0,0.350670031578052,5.5,0,59,0.1,1,10
"20","20","1",0,"n",0,0.351304351956337,5.5,0,59,0.1,1,10
"21","7.1","2",1,"n",0.0847457627118644,0.345213052788458,5.5,0,59,0.1,1,10
"22","8.5","2",1,"n",0.0847457627118644,0.345935318481183,5.5,0,59,0.1,1,10
"23","10","2",1,"n",0.0847457627118644,0.346645431853015,5.5,0,59,0.1,1,10
"24","11.4","2",1,"n",0.0847457627118644,0.347343752451104,5.5,0,59,0.1,1,10
"25","12.8","2",1,"n",0.0847457627118644,0.348030624663203,5.5,0,59,0.1,1,10
"26","14.3","2",1,"n",0.0847457627118644,0.348706378543631,5.5,0,59,0.1,1,10
"27","15.7","2",1,"n",0.0847457627118644,0.34937133058434,5.5,0,59,0.1,1,10
"28","17.1","2",1,"n",0.0847457627118644,0.350025784435286,5.5,0,59,0.1,1,10
"29","18.6","2",1,"n",0.0847457627118644,0.350670031578052,5.5,0,59,0.1,1,10
"30","20","2",1,"n",0.0847457627118644,0.351304351956337,5.5,0,59,0.1,1,10
"31","7.1","0",0.777777777777778,"a",0.711864406779661,0.345213052788458,5.5,0,59,0.1,1,10
"32","8.5","0",0.777777777777778,"a",0.711864406779661,0.345935318481183,5.5,0,59,0.1,1,10
"33","10","0",0.777777777777778,"a",0.711864406779661,0.346645431853015,5.5,0,59,0.1,1,10
"34","11.4","0",0.777777777777778,"a",0.711864406779661,0.347343752451104,5.5,0,59,0.1,1,10
"35","12.8","0",0.777777777777778,"a",0.711864406779661,0.348030624663203,5.5,0,59,0.1,1,10
"36","14.3","0",0.777777777777778,"a",0.711864406779661,0.348706378543631,5.5,0,59,0.1,1,10
"37","15.7","0",0.777777777777778,"a",0.711864406779661,0.34937133058434,5.5,0,59,0.1,1,10
"38","17.1","0",0.777777777777778,"a",0.711864406779661,0.350025784435286,5.5,0,59,0.1,1,10
"39","18.6","0",0.777777777777778,"a",0.711864406779661,0.350670031578052,5.5,0,59,0.1,1,10
"40","20","0",0.777777777777778,"a",0.711864406779661,0.351304351956337,5.5,0,59,0.1,1,10
"41","7.1","1",0.166666666666667,"a",0.152542372881356,0.345213052788458,5.5,0,59,0.1,1,10
"42","8.5","1",0.166666666666667,"a",0.152542372881356,0.345935318481183,5.5,0,59,0.1,1,10
"43","10","1",0.166666666666667,"a",0.152542372881356,0.346645431853015,5.5,0,59,0.1,1,10
"44","11.4","1",0.166666666666667,"a",0.152542372881356,0.347343752451104,5.5,0,59,0.1,1,10
"45","12.8","1",0.166666666666667,"a",0.152542372881356,0.348030624663203,5.5,0,59,0.1,1,10
"46","14.3","1",0.166666666666667,"a",0.152542372881356,0.348706378543631,5.5,0,59,0.1,1,10
"47","15.7","1",0.166666666666667,"a",0.152542372881356,0.34937133058434,5.5,0,59,0.1,1,10
"48","17.1","1",0.166666666666667,"a",0.152542372881356,0.350025784435286,5.5,0,59,0.1,1,10
"49","18.6","1",0.166666666666667,"a",0.152542372881356,0.350670031578052,5.5,0,59,0.1,1,10
"50","20","1",0.166666666666667,"a",0.152542372881356,0.351304351956337,5.5,0,59,0.1,1,10
"51","7.1","2",0.0555555555555556,"a",0.0508474576271186,0.345213052788458,5.5,0,59,0.1,1,10
"52","8.5","2",0.0555555555555556,"a",0.0508474576271186,0.345935318481183,5.5,0,59,0.1,1,10
