"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","ya"
"1","7.1","0",0,"n",0,0.345213052788458,5.5,0,59,0.1
"2","8.5","0",0,"n",0,0.345935318481183,5.5,0,59,0.1
"3","10","0",0,"n",0,0.346645431853015,5.5,0,59,0.1
"4","11.4","0",0,"n",0,0.347343752451104,5.5,0,59,0.1
"5","12.8","0",0,"n",0,0.348030624663203,5.5,0,59,0.1
"6","14.3","0",0,"n",0,0.348706378543631,5.5,0,59,0.1
"7","15.7","0",0,"n",0,0.34937133058434,5.5,0,59,0.1
"8","17.1","0",0,"n",0,0.350025784435286,5.5,0,59,0.1
"9","18.6","0",0,"n",0,0.350670031578052,5.5,0,59,0.1
"10","20","0",0,"n",0,0.351304351956337,5.5,0,59,0.1
"11","7.1","1",0,"n",0,0.345213052788458,5.5,0,59,0.1
"12","8.5","1",0,"n",0,0.345935318481183,5.5,0,59,0.1
"13","10","1",0,"n",0,0.346645431853015,5.5,0,59,0.1
"14","11.4","1",0,"n",0,0.347343752451104,5.5,0,59,0.1
"15","12.8","1",0,"n",0,0.348030624663203,5.5,0,59,0.1
"16","14.3","1",0,"n",0,0.348706378543631,5.5,0,59,0.1
"17","15.7","1",0,"n",0,0.34937133058434,5.5,0,59,0.1
"18","17.1","1",0,"n",0,0.350025784435286,5.5,0,59,0.1
"19","18.6","1",0,"n",0,0.350670031578052,5.5,0,59,0.1
"20","20","1",0,"n",0,0.351304351956337,5.5,0,59,0.1
"21","7.1","2",1,"n",0.0847457627118644,0.345213052788458,5.5,0,59,0.1
"22","8.5","2",1,"n",0.0847457627118644,0.345935318481183,5.5,0,59,0.1
"23","10","2",1,"n",0.0847457627118644,0.346645431853015,5.5,0,59,0.1
"24","11.4","2",1,"n",0.0847457627118644,0.347343752451104,5.5,0,59,0.1
"25","12.8","2",1,"n",0.0847457627118644,0.348030624663203,5.5,0,59,0.1
"26","14.3","2",1,"n",0.0847457627118644,0.348706378543631,5.5,0,59,0.1
"27","15.7","2",1,"n",0.0847457627118644,0.34937133058434,5.5,0,59,0.1
"28","17.1","2",1,"n",0.0847457627118644,0.350025784435286,5.5,0,59,0.1
"29","18.6","2",1,"n",0.0847457627118644,0.350670031578052,5.5,0,59,0.1
"30","20","2",1,"n",0.0847457627118644,0.351304351956337,5.5,0,59,0.1
"31","7.1","0",0.777777777777778,"a",0.711864406779661,0.345213052788458,5.5,0,59,0.1
"32","8.5","0",0.777777777777778,"a",0.711864406779661,0.345935318481183,5.5,0,59,0.1
"33","10","0",0.777777777777778,"a",0.711864406779661,0.346645431853015,5.5,0,59,0.1
"34","11.4","0",0.777777777777778,"a",0.711864406779661,0.347343752451104,5.5,0,59,0.1
"35","12.8","0",0.777777777777778,"a",0.711864406779661,0.348030624663203,5.5,0,59,0.1
"36","14.3","0",0.777777777777778,"a",0.711864406779661,0.348706378543631,5.5,0,59,0.1
"37","15.7","0",0.777777777777778,"a",0.711864406779661,0.34937133058434,5.5,0,59,0.1
"38","17.1","0",0.777777777777778,"a",0.711864406779661,0.350025784435286,5.5,0,59,0.1
"39","18.6","0",0.777777777777778,"a",0.711864406779661,0.350670031578052,5.5,0,59,0.1
"40","20","0",0.777777777777778,"a",0.711864406779661,0.351304351956337,5.5,0,59,0.1
"41","7.1","1",0.166666666666667,"a",0.152542372881356,0.345213052788458,5.5,0,59,0.1
"42","8.5","1",0.166666666666667,"a",0.152542372881356,0.345935318481183,5.5,0,59,0.1
"43","10","1",0.166666666666667,"a",0.152542372881356,0.346645431853015,5.5,0,59,0.1
"44","11.4","1",0.166666666666667,"a",0.152542372881356,0.347343752451104,5.5,0,59,0.1
"45","12.8","1",0.166666666666667,"a",0.152542372881356,0.348030624663203,5.5,0,59,0.1
"46","14.3","1",0.166666666666667,"a",0.152542372881356,0.348706378543631,5.5,0,59,0.1
"47","15.7","1",0.166666666666667,"a",0.152542372881356,0.34937133058434,5.5,0,59,0.1
"48","17.1","1",0.166666666666667,"a",0.152542372881356,0.350025784435286,5.5,0,59,0.1
