"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn"
"1","7.1","0",0.767857142857143,"n",0.728813559322034,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"2","8.5","0",0.767857142857143,"n",0.728813559322034,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"3","10","0",0.767857142857143,"n",0.728813559322034,0.460625206082769,15,0,59,0.0486772392695035,0.1
"4","11.4","0",0.767857142857143,"n",0.728813559322034,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"5","12.8","0",0.767857142857143,"n",0.728813559322034,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"6","14.3","0",0.767857142857143,"n",0.728813559322034,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"7","15.7","0",0.767857142857143,"n",0.728813559322034,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"8","17.1","0",0.785714285714286,"n",0.745762711864407,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"9","18.6","0",0.785714285714286,"n",0.745762711864407,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"10","20","0",0.785714285714286,"n",0.745762711864407,0.483155241962496,25.2,0,59,0.16845380477127,0.1
"11","7.1","1",0.125,"n",0.11864406779661,0.450307661929772,12.1,0,59,0.0297619064724158,0.1
"12","8.5","1",0.125,"n",0.11864406779661,0.455501652268163,13.5,0,59,0.0377600704608361,0.1
"13","10","1",0.125,"n",0.11864406779661,0.460625206082769,15,0,59,0.0486772392695035,0.1
"14","11.4","1",0.125,"n",0.11864406779661,0.465100020391263,17.1,0,59,0.0643561805754408,0.1
"15","12.8","1",0.125,"n",0.11864406779661,0.468604924218543,18.8,0,59,0.0803410531398484,0.1
"16","14.3","1",0.125,"n",0.11864406779661,0.471615640701588,20.3,0,59,0.0984332171188115,0.1
"17","15.7","1",0.125,"n",0.11864406779661,0.474399138243257,21.6,0,59,0.116103629667736,0.1
"18","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.47775151328018,23.2,0,59,0.135910183363412,0.1
"19","18.6","1",0.0892857142857143,"n",0.0847457627118644,0.480740779436668,24.4,0,59,0.154429679486342,0.1
"20","20","1",0.0892857142857143,"n",0.0847457627118644,0.483155241962496,25.2,0,59,0.16845380477127,0.1
