"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yo"
"1","7.1","0",0,"n",0,0.273950171129881,0,20,13,0.0618443470131054,0.5
"2","8.5","0",0,"n",0,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"3","10","0",0,"n",0,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"4","11.4","0",0,"n",0,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
"5","12.8","0",0,"n",0,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"6","14.3","0",0,"n",0,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"7","15.7","0",0,"n",0,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"8","17.1","0",0,"n",0,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"9","18.6","0",0,"n",0,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"10","20","0",0,"n",0,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"11","7.1","1",0,"n",0,0.273950171129881,0,20,13,0.0618443470131054,0.5
"12","8.5","1",0.125,"n",0.0769230769230769,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"13","10","1",0,"n",0,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"14","11.4","1",0,"n",0,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
"15","12.8","1",0,"n",0,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"16","14.3","1",0,"n",0,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"17","15.7","1",0.125,"n",0.0769230769230769,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"18","17.1","1",0,"n",0,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"19","18.6","1",0.125,"n",0.0769230769230769,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"20","20","1",0,"n",0,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"21","7.1","2",1,"n",0.615384615384615,0.273950171129881,0,20,13,0.0618443470131054,0.5
"22","8.5","2",0.875,"n",0.538461538461538,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"23","10","2",1,"n",0.615384615384615,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"24","11.4","2",1,"n",0.615384615384615,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
"25","12.8","2",1,"n",0.615384615384615,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"26","14.3","2",1,"n",0.615384615384615,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"27","15.7","2",0.875,"n",0.538461538461538,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"28","17.1","2",1,"n",0.615384615384615,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"29","18.6","2",0.875,"n",0.538461538461538,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"30","20","2",1,"n",0.615384615384615,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"31","7.1","0",0,"a",0,0.273950171129881,0,20,13,0.0618443470131054,0.5
"32","8.5","0",0,"a",0,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"33","10","0",0,"a",0,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"34","11.4","0",0,"a",0,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
"35","12.8","0",0,"a",0,0.297994791925453,0.4,30.5,13,0.164894394888015,0.5
"36","14.3","0",0,"a",0,0.306709053208473,0.4,33.1,13,0.191228666627971,0.5
"37","15.7","0",0,"a",0,0.307388129029084,0.300000000000001,35.6,13,0.21549676253139,0.5
"38","17.1","0",0,"a",0,0.314645602925786,0.399999999999999,37.5,13,0.230911738247212,0.5
"39","18.6","0",0,"a",0,0.314616264710909,0.300000000000001,40.7,13,0.249983163523096,0.5
"40","20","0",0,"a",0,0.320789487784372,0.799999999999997,41,13,0.253134249050859,0.5
"41","7.1","1",0,"a",0,0.273950171129881,0,20,13,0.0618443470131054,0.5
"42","8.5","1",0,"a",0,0.278462931101883,0.300000000000001,22.3,13,0.0793680027773283,0.5
"43","10","1",0,"a",0,0.289752706715203,0.4,25.2,13,0.106269228814611,0.5
"44","11.4","1",0.2,"a",0.0769230769230769,0.292582969230998,0.4,27.3,13,0.132011179941982,0.5
