"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","m"
"1","7.1","0",0.619047619047619,"n",0.5,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"2","8.5","0",0.6,"n",0.48,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"3","10","0",0.6,"n",0.48,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"4","11.4","0",0.6,"n",0.48,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"5","12.8","0",0.6,"n",0.48,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"6","14.3","0",0.565217391304348,"n",0.481481481481481,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"7","15.7","0",0.428571428571429,"n",0.375,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"8","17.1","0",0.454545454545455,"n",0.4,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"9","18.6","0",0.428571428571429,"n",0.375,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"10","20","0",0.454545454545455,"n",0.4,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"11","7.1","1",0,"n",0,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"12","8.5","1",0,"n",0,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"13","10","1",0,"n",0,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"14","11.4","1",0,"n",0,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"15","12.8","1",0.05,"n",0.04,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"16","14.3","1",0.0869565217391304,"n",0.0740740740740741,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"17","15.7","1",0.238095238095238,"n",0.208333333333333,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"18","17.1","1",0.227272727272727,"n",0.2,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"19","18.6","1",0.238095238095238,"n",0.208333333333333,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"20","20","1",0.227272727272727,"n",0.2,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"21","7.1","2",0.380952380952381,"n",0.307692307692308,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"22","8.5","2",0.4,"n",0.32,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"23","10","2",0.4,"n",0.32,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"24","11.4","2",0.4,"n",0.32,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"25","12.8","2",0.35,"n",0.28,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"26","14.3","2",0.347826086956522,"n",0.296296296296296,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"27","15.7","2",0.333333333333333,"n",0.291666666666667,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"28","17.1","2",0.318181818181818,"n",0.28,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"29","18.6","2",0.333333333333333,"n",0.291666666666667,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"30","20","2",0.318181818181818,"n",0.28,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"31","7.1","0",0,"a",0,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"32","8.5","0",0,"a",0,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"33","10","0",0,"a",0,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"34","11.4","0",0,"a",0,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"35","12.8","0",0,"a",0,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"36","14.3","0",0,"a",0,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"37","15.7","0",0,"a",0,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"38","17.1","0",0,"a",0,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"39","18.6","0",0,"a",0,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"40","20","0",0,"a",0,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"41","7.1","1",0.2,"a",0.0384615384615385,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"42","8.5","1",0.2,"a",0.04,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"43","10","1",0.2,"a",0.04,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"44","11.4","1",0.2,"a",0.04,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"45","12.8","1",0,"a",0,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"46","14.3","1",0.25,"a",0.037037037037037,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"47","15.7","1",0,"a",0,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"48","17.1","1",0,"a",0,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"49","18.6","1",0,"a",0,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"50","20","1",0,"a",0,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"51","7.1","2",0.8,"a",0.153846153846154,0.161350291172557,3.4,13.8,26,0.0112551575315446,-1
"52","8.5","2",0.8,"a",0.16,0.173275848522803,3.2,14.3,25,0.0115505976871049,-1
"53","10","2",0.8,"a",0.16,0.173938771398171,3.2,14.3,25,0.0120941843638102,-1
"54","11.4","2",0.8,"a",0.16,0.17458620680098,3.2,14.4,25,0.012177184330223,-1
"55","12.8","2",1,"a",0.2,0.17521995844779,3.2,14.6,25,0.012260130982321,-1
"56","14.3","2",0.75,"a",0.111111111111111,0.152054308705168,3.6,14,27,0.0125034570812237,-1
"57","15.7","2",1,"a",0.125,0.184086449070934,3.5,15.1,24,0.0130941343471789,-1
"58","17.1","2",1,"a",0.12,0.172819407450436,3.7,15,25,0.0132376039231214,-1
"59","18.6","2",1,"a",0.125,0.18525632531783,3.5,15.3,24,0.0133168471202465,-1
"60","20","2",1,"a",0.12,0.173934696805188,3.7,15,25,0.0137150503836392,-1
"61","7.1","0",0.6,"n",0.48,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"62","8.5","0",0.6,"n",0.48,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"63","10","0",0.6,"n",0.48,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"64","11.4","0",0.6,"n",0.48,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"65","12.8","0",0.6,"n",0.48,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"66","14.3","0",0.565217391304348,"n",0.481481481481481,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"67","15.7","0",0.428571428571429,"n",0.375,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"68","17.1","0",0.454545454545455,"n",0.4,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"69","18.6","0",0.428571428571429,"n",0.375,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"70","20","0",0.454545454545455,"n",0.4,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"71","7.1","1",0,"n",0,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"72","8.5","1",0,"n",0,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"73","10","1",0,"n",0,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"74","11.4","1",0,"n",0,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"75","12.8","1",0.05,"n",0.04,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"76","14.3","1",0.0869565217391304,"n",0.0740740740740741,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"77","15.7","1",0.238095238095238,"n",0.208333333333333,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"78","17.1","1",0.227272727272727,"n",0.2,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"79","18.6","1",0.238095238095238,"n",0.208333333333333,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"80","20","1",0.227272727272727,"n",0.2,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"81","7.1","2",0.4,"n",0.32,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"82","8.5","2",0.4,"n",0.32,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"83","10","2",0.4,"n",0.32,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"84","11.4","2",0.4,"n",0.32,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"85","12.8","2",0.35,"n",0.28,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"86","14.3","2",0.347826086956522,"n",0.296296296296296,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"87","15.7","2",0.333333333333333,"n",0.291666666666667,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"88","17.1","2",0.318181818181818,"n",0.28,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"89","18.6","2",0.333333333333333,"n",0.291666666666667,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"90","20","2",0.318181818181818,"n",0.28,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"91","7.1","0",0,"a",0,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"92","8.5","0",0,"a",0,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"93","10","0",0,"a",0,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"94","11.4","0",0,"a",0,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"95","12.8","0",0,"a",0,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"96","14.3","0",0,"a",0,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"97","15.7","0",0,"a",0,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"98","17.1","0",0,"a",0,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"99","18.6","0",0,"a",0,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"100","20","0",0,"a",0,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"101","7.1","1",0,"a",0,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"102","8.5","1",0.2,"a",0.04,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"103","10","1",0.2,"a",0.04,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"104","11.4","1",0.2,"a",0.04,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"105","12.8","1",0,"a",0,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"106","14.3","1",0.25,"a",0.037037037037037,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"107","15.7","1",0,"a",0,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"108","17.1","1",0,"a",0,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"109","18.6","1",0,"a",0,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"110","20","1",0,"a",0,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"111","7.1","2",1,"a",0.2,0.158599420188919,3.2,14.1,25,0.0103681723349885,-0.85
"112","8.5","2",0.8,"a",0.16,0.157403309458463,3.2,14.3,25,0.0106454064058144,-0.85
"113","10","2",0.8,"a",0.16,0.158092610471836,3.2,14.3,25,0.0111346289402423,-0.85
"114","11.4","2",0.8,"a",0.16,0.15876756164112,3.2,14.4,25,0.0112145018345851,-0.85
"115","12.8","2",1,"a",0.2,0.15942977472997,3.2,14.6,25,0.0112943414270039,-0.85
"116","14.3","2",0.75,"a",0.111111111111111,0.137389272956592,3.6,14,27,0.0115679826145119,-0.85
"117","15.7","2",1,"a",0.125,0.168301414035806,3.5,15.1,24,0.0120974876345352,-0.85
"118","17.1","2",1,"a",0.12,0.157493516621579,3.7,15,25,0.0121920024345828,-0.85
"119","18.6","2",1,"a",0.125,0.169539432448999,3.5,15.3,24,0.0122686069134561,-0.85
"120","20","2",1,"a",0.12,0.158672248531529,3.7,15,25,0.0126633882133189,-0.85
"121","7.1","0",0.6,"n",0.48,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"122","8.5","0",0.6,"n",0.48,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"123","10","0",0.6,"n",0.48,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"124","11.4","0",0.6,"n",0.48,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"125","12.8","0",0.6,"n",0.48,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"126","14.3","0",0.565217391304348,"n",0.481481481481481,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"127","15.7","0",0.428571428571429,"n",0.375,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"128","17.1","0",0.454545454545455,"n",0.4,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"129","18.6","0",0.428571428571429,"n",0.375,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"130","20","0",0.454545454545455,"n",0.4,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"131","7.1","1",0,"n",0,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"132","8.5","1",0,"n",0,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"133","10","1",0,"n",0,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"134","11.4","1",0,"n",0,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"135","12.8","1",0.05,"n",0.04,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"136","14.3","1",0.0869565217391304,"n",0.0740740740740741,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"137","15.7","1",0.238095238095238,"n",0.208333333333333,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"138","17.1","1",0.227272727272727,"n",0.2,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"139","18.6","1",0.238095238095238,"n",0.208333333333333,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"140","20","1",0.227272727272727,"n",0.2,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"141","7.1","2",0.4,"n",0.32,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"142","8.5","2",0.4,"n",0.32,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"143","10","2",0.4,"n",0.32,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"144","11.4","2",0.4,"n",0.32,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"145","12.8","2",0.35,"n",0.28,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"146","14.3","2",0.347826086956522,"n",0.296296296296296,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"147","15.7","2",0.333333333333333,"n",0.291666666666667,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"148","17.1","2",0.318181818181818,"n",0.28,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"149","18.6","2",0.333333333333333,"n",0.291666666666667,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"150","20","2",0.318181818181818,"n",0.28,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"151","7.1","0",0,"a",0,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"152","8.5","0",0,"a",0,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"153","10","0",0,"a",0,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"154","11.4","0",0,"a",0,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"155","12.8","0",0,"a",0,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"156","14.3","0",0,"a",0,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"157","15.7","0",0,"a",0,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"158","17.1","0",0,"a",0,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"159","18.6","0",0,"a",0,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"160","20","0",0,"a",0,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"161","7.1","1",0,"a",0,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"162","8.5","1",0.2,"a",0.04,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"163","10","1",0.2,"a",0.04,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"164","11.4","1",0.2,"a",0.04,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"165","12.8","1",0,"a",0,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"166","14.3","1",0.25,"a",0.037037037037037,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"167","15.7","1",0,"a",0,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"168","17.1","1",0,"a",0,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"169","18.6","1",0,"a",0,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"170","20","1",0,"a",0,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"171","7.1","2",1,"a",0.2,0.139309209025372,3.2,14.1,25,0.0100542805124892,-0.7
"172","8.5","2",0.8,"a",0.16,0.138324152780748,3.2,14.3,25,0.0101536075657106,-0.7
"173","10","2",0.8,"a",0.16,0.13899594636035,3.2,14.3,25,0.0102538318504052,-0.7
"174","11.4","2",0.8,"a",0.16,0.139655419733553,3.2,14.4,25,0.0104550710196589,-0.7
"175","12.8","2",1,"a",0.2,0.140303950922072,3.2,14.6,25,0.0105580635282172,-0.7
"176","14.3","2",0.75,"a",0.111111111111111,0.119738081082376,3.6,14,27,0.0106619869678137,-0.7
"177","15.7","2",1,"a",0.125,0.149002885503267,3.5,15.1,24,0.0107668500649574,-0.7
"178","17.1","2",1,"a",0.12,0.138792914977191,3.7,15,25,0.010872661566688,-0.7
"179","18.6","2",1,"a",0.125,0.150232083290495,3.5,15.3,24,0.0109794302425759,-0.7
"180","20","2",1,"a",0.12,0.139960111318083,3.7,15,25,0.0112257926494835,-0.7
"181","7.1","0",0.6,"n",0.48,0.117053431638023,3.2,14.1,25,0.00998448601015641,-0.55
"182","8.5","0",0.6,"n",0.48,0.116257403108867,3.2,14.3,25,0.0100832351450263,-0.55
