"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index","Bn","ka","dn0","more_nat_preds_cat"
"1","7.1","0",0,"n",0,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"2","7.6","0",0,"n",0,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"3","8.2","0",0,"n",0,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"4","8.8","0",0,"n",0,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"5","9.4","0",0,"n",0,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"6","10","0",0,"n",0,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"7","7.1","1",0,"n",0,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"8","7.6","1",0,"n",0,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"9","8.2","1",0,"n",0,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"10","8.8","1",0,"n",0,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"11","9.4","1",0,"n",0,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"12","10","1",0,"n",0,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"13","7.1","2",1,"n",0.0847457627118644,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"14","7.6","2",1,"n",0.0847457627118644,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"15","8.2","2",1,"n",0.0847457627118644,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"16","8.8","2",1,"n",0.0847457627118644,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"17","9.4","2",1,"n",0.0847457627118644,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"18","10","2",1,"n",0.0847457627118644,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"19","7.1","0",0.851851851851852,"a",0.779661016949153,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"20","7.6","0",0.851851851851852,"a",0.779661016949153,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"21","8.2","0",0.851851851851852,"a",0.779661016949153,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"22","8.8","0",0.851851851851852,"a",0.779661016949153,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"23","9.4","0",0.833333333333333,"a",0.76271186440678,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"24","10","0",0.851851851851852,"a",0.779661016949153,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"25","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"26","7.6","1",0.0185185185185185,"a",0.0169491525423729,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"27","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"28","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"29","9.4","1",0.0555555555555556,"a",0.0508474576271186,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"30","10","1",0.0185185185185185,"a",0.0169491525423729,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"31","7.1","2",0.12962962962963,"a",0.11864406779661,0.0144650276311796,12.1,0,59,0.0311725499148007,1,0.9,1.3,1,1
"32","7.6","2",0.12962962962963,"a",0.11864406779661,0.0148597293400087,12.7,0,59,0.0343668304006612,1,0.9,1.3,1,1
"33","8.2","2",0.12962962962963,"a",0.11864406779661,0.0153035533601266,13.3,0,59,0.0381679630716228,1,0.9,1.3,1,1
"34","8.8","2",0.12962962962963,"a",0.11864406779661,0.015738476534523,13.9,0,59,0.0423166738783245,1,0.9,1.3,1,1
"35","9.4","2",0.111111111111111,"a",0.101694915254237,0.0159121028104306,14.7,0,59,0.0476171100417174,1,0.9,1.3,1,1
"36","10","2",0.12962962962963,"a",0.11864406779661,0.0166140194679368,15.4,0,59,0.052999514185488,1,0.9,1.3,1,1
"37","7.1","0",0,"n",0,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"38","7.6","0",0,"n",0,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"39","8.2","0",0,"n",0,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"40","8.8","0",0,"n",0,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"41","9.4","0",0,"n",0,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"42","10","0",0,"n",0,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"43","7.1","1",0,"n",0,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"44","7.6","1",0,"n",0,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"45","8.2","1",0,"n",0,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"46","8.8","1",0,"n",0,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"47","9.4","1",0,"n",0,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"48","10","1",0,"n",0,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"49","7.1","2",1,"n",0.0847457627118644,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"50","7.6","2",1,"n",0.0847457627118644,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"51","8.2","2",1,"n",0.0847457627118644,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"52","8.8","2",1,"n",0.0847457627118644,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"53","9.4","2",1,"n",0.0847457627118644,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"54","10","2",1,"n",0.0847457627118644,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"55","7.1","0",0.851851851851852,"a",0.779661016949153,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"56","7.6","0",0.851851851851852,"a",0.779661016949153,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"57","8.2","0",0.851851851851852,"a",0.779661016949153,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"58","8.8","0",0.851851851851852,"a",0.779661016949153,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"59","9.4","0",0.833333333333333,"a",0.76271186440678,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"60","10","0",0.851851851851852,"a",0.779661016949153,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"61","7.1","1",0.0185185185185185,"a",0.0169491525423729,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"62","7.6","1",0.0185185185185185,"a",0.0169491525423729,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"63","8.2","1",0.0185185185185185,"a",0.0169491525423729,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"64","8.8","1",0.0185185185185185,"a",0.0169491525423729,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"65","9.4","1",0.0555555555555556,"a",0.0508474576271186,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
"66","10","1",0.0185185185185185,"a",0.0169491525423729,0.017294974015839,15.4,0,59,0.052999514185488,2,0.7,1.3,1,1
"67","7.1","2",0.12962962962963,"a",0.11864406779661,0.015057982097687,12.1,0,59,0.0311725499148007,2,0.7,1.3,1,1
"68","7.6","2",0.12962962962963,"a",0.11864406779661,0.0154688464611225,12.7,0,59,0.0343668304006612,2,0.7,1.3,1,1
"69","8.2","2",0.12962962962963,"a",0.11864406779661,0.0159308455849914,13.3,0,59,0.0381679630716228,2,0.7,1.3,1,1
"70","8.8","2",0.12962962962963,"a",0.11864406779661,0.016383579344257,13.9,0,59,0.0423166738783245,2,0.7,1.3,1,1
"71","9.4","2",0.111111111111111,"a",0.101694915254237,0.0165643046973621,14.7,0,59,0.0476171100417174,2,0.7,1.3,1,1
