"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"1","7.1","0",0,"n",0,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"2","7.6","0",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"3","8.2","0",0,"n",0,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"4","8.8","0",0,"n",0,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"5","9.4","0",0,"n",0,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
"6","10","0",0,"n",0,0.258733113107083,1.1,23.4,13,0.0861347362791,0,"N"
"7","7.1","1",0,"n",0,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"8","7.6","1",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"9","8.2","1",0,"n",0,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"10","8.8","1",0,"n",0,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"11","9.4","1",0,"n",0,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
"12","10","1",0,"n",0,0.258733113107083,1.1,23.4,13,0.0861347362791,0,"N"
"13","7.1","2",0,"n",0,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"14","7.6","2",0,"n",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"15","8.2","2",0,"n",0,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"16","8.8","2",0,"n",0,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"17","9.4","2",0,"n",0,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
"18","10","2",0,"n",0,0.258733113107083,1.1,23.4,13,0.0861347362791,0,"N"
"19","7.1","0",0,"a",0,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"20","7.6","0",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"21","8.2","0",0,"a",0,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"22","8.8","0",0,"a",0,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"23","9.4","0",0,"a",0,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
"24","10","0",0,"a",0,0.258733113107083,1.1,23.4,13,0.0861347362791,0,"N"
"25","7.1","1",0,"a",0,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"26","7.6","1",0,"a",0,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"27","8.2","1",0,"a",0,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"28","8.8","1",0.0769230769230769,"a",0.0769230769230769,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"29","9.4","1",0.0769230769230769,"a",0.0769230769230769,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
"30","10","1",0.0769230769230769,"a",0.0769230769230769,0.258733113107083,1.1,23.4,13,0.0861347362791,0,"N"
"31","7.1","2",1,"a",1,0.248752952418132,0,20,13,0.0590637549557212,0,"N"
"32","7.6","2",1,"a",1,0.251340879661293,0.0999999999999996,20.5,13,0.0633571079826131,0,"N"
"33","8.2","2",1,"a",1,0.25256468127332,0.699999999999999,20.5,13,0.0633571079826131,0,"N"
"34","8.8","2",0.923076923076923,"a",0.923076923076923,0.252754631574164,1.1,20.5,13,0.0638473605521784,0,"N"
"35","9.4","2",0.923076923076923,"a",0.923076923076923,0.25586529639221,1.1,22.5,13,0.0774996901503023,0,"N"
