"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","iter_val","iter_var"
"1",1,"7.1",1,"a",0.898505281250929,0.000170013823661962,2,0.898505281250929,7.1,0,"N"
"2",2,"7.1",3,"a",0.898505281250929,0.000189218502338977,2,0.80731174043581,7.1,0,"N"
"3",3,"7.1",5,"a",0.898505281250929,0.000210592532161348,2,0.725373862397454,7.1,0,"N"
"4",4,"7.1",7,"a",0.898505281250929,0.000234380961977379,2,0.651752246245497,7.1,0,"N"
"5",5,"7.1",9,"a",0.898505281250929,0.000260856521233872,2,0.585602835318735,7.1,0,"N"
"6",6,"7.1",11,"a",0.898505281250929,0.000290322746763045,2,0.526167240249401,7.1,0,"N"
"7",7,"7.1",13,"a",0.898505281250929,0.000323117462769777,2,0.472764044185313,7.1,0,"N"
"8",8,"7.1",15,"a",0.898505281250929,0.000359616653916516,2,0.424780990486051,7.1,0,"N"
"9",9,"7.1",17,"a",0.898505281250929,0.000400238775909971,2,0.381667963326717,7.1,0,"N"
"10",10,"7.1",19,"a",0.898505281250929,0.000445449553009578,2,0.342930680733341,7.1,0,"N"
"11",11,"7.1",21,"a",0.898505281250929,0.00049576731746018,2,0.308125027741883,7.1,0,"N"
"12",12,"7.1",23,"a",0.898505281250929,0.00055176895206443,2,0.276851964711671,7.1,0,"N"
"13",13,"7.1",25,"a",0.898505281250929,0.000614096504025262,2,0.248752952418132,7.1,0,"N"
"14",14,"7.1",26,"o",0.898505281250929,0.000683464545884802,0,0.223505841474452,7.1,0,"N"
"15",15,"7.1",26,"o",0.898863170195976,0.000760668367951338,0,0.200901169225046,7.3,0,"N"
"16",16,"7.1",26,"o",0.899208000325557,0.000846256018906072,0,0.18065193864192,7.5,0,"N"
"17",17,"7.1",26,"o",0.899540576564082,0.000941112644237692,0,0.162503749043372,7.7,0,"N"
"18",18,"7.1",26,"o",0.89986163498859,0.00104621477758391,0,0.146230889305944,7.9,0,"N"
"19",19,"7.1",26,"o",0.900171850281655,0.0011626396069182,0,0.131632930194863,8.1,0,"N"
"20",20,"7.1",26,"o",0.900471842216336,0.00129157516595795,0,0.118531747148903,8.3,0,"N"
