"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","iter_val","iter_var"
"1",1,"7.1",1,"a",0.887727261733853,0.000170446244193723,1,0.887727261733853,7.1,0,"N"
"2",2,"7.1",2,"a",0.898685911298887,0.000192002940025541,2,0.797787983196154,7.2,0,"N"
"3",3,"7.1",4,"a",0.898685911298887,0.000213648547964924,2,0.716960820701936,7.2,0,"N"
"4",4,"7.1",6,"a",0.898685911298887,0.000237734391158012,2,0.644322588518118,7.2,0,"N"
"5",5,"7.1",8,"a",0.898685911298887,0.000264535571515091,2,0.579043632632862,7.2,0,"N"
"6",6,"7.1",10,"a",0.898685911298887,0.000294358204784531,2,0.520378354674482,7.2,0,"N"
"7",7,"7.1",12,"a",0.898685911298887,0.0003275429169231,2,0.467656695890852,7.2,0,"N"
"8",8,"7.1",14,"a",0.898685911298887,0.000364468734632432,2,0.420276483921697,7.2,0,"N"
"9",9,"7.1",16,"a",0.898685911298887,0.000405557414498308,2,0.377696554950662,7.2,0,"N"
"10",10,"7.1",18,"a",0.898685911298887,0.000451278260178964,2,0.339430572680286,7.2,0,"N"
"11",11,"7.1",20,"a",0.898685911298887,0.000502153482663062,2,0.305041473531886,7.2,0,"N"
"12",12,"7.1",22,"a",0.898685911298887,0.000558764164820711,2,0.274136474624958,7.2,0,"N"
"13",13,"7.1",24,"a",0.898685911298887,0.000621756898373002,2,0.246362587518595,7.2,0,"N"
"14",14,"7.1",26,"o",0.898685911298887,0.000691851169085721,0,0.2214025864741,7.2,0,"N"
"15",15,"7.1",26,"o",0.89903716559663,0.000769847574538891,0,0.199049153799438,7.4,0,"N"
"16",16,"7.1",26,"o",0.899375772655235,0.000856302279815091,0,0.17901998649474,7.6,0,"N"
"17",17,"7.1",26,"o",0.899702501976831,0.000952107345839461,0,0.161064729753176,7.8,0,"N"
"18",18,"7.1",26,"o",0.90001805807385,0.00105824685798637,0,0.144961165296643,8,0,"N"
"19",19,"7.1",26,"o",0.900323087417982,0.00117580625021142,0,0.130511883895582,8.2,0,"N"
"20",20,"7.1",26,"o",0.900618184497426,0.00130598255964255,0,0.117541375929378,8.4,0,"N"
"21",21,"7.1",26,"o",0.900903897115042,0.00145009570328777,0,0.105893483647041,8.6,0,"N"
"22",22,"7.1",26,"o",0.901180731037745,0.00160960087744253,0,0.0954291670051737,8.8,0,"N"
"23",23,"7.1",26,"o",0.901449154089272,0.00178610219016668,0,0.0860245418722577,9,0,"N"
"24",24,"7.1",26,"o",0.901836957959405,0.00198136764793037,0,0.0775801111519284,9.3,0,"N"
"25",25,"7.1",26,"o",0.902208140147447,0.00219703531823937,0,0.0699934077948135,9.6,0,"N"
"26",26,"7.1",26,"o",0.902563898421186,0.00243517567673499,0,0.0631735230030707,9.9,0,"N"
"27",27,"7.1",26,"o",0.902905311302148,0.00269806457027002,0,0.057039709453141,10.2,0,"N"
"28",28,"7.1",26,"o",0.903233353029144,0.00298820323293805,0,0.0515201680251687,10.5,0,"N"
"29",29,"7.1",26,"o",0.903548906277751,0.00330834022339478,0,0.0465509914703871,10.8,0,"N"
"30",30,"7.1",26,"o",0.90385277302424,0.0036614954657228,0,0.0420752427275371,11.1,0,"N"
"31",31,"7.1",26,"o",0.904241003182327,0.0040509865931723,0,0.0380461596930881,11.5,0,"N"
"32",32,"7.1",26,"o",0.904611308720388,0.00447998551151244,0,0.0344169863117493,11.9,0,"N"
"33",33,"7.1",26,"o",0.904965077525625,0.00495238724999975,0,0.0311461706858106,12.3,0,"N"
"34",34,"7.1",26,"o",0.905303549355658,0.00547246227836844,0,0.0281967388707014,12.7,0,"N"
"35",35,"7.1",26,"o",0.905627835723606,0.00604489210526504,0,0.025535751597937,13.1,0,"N"
"36",36,"7.1",26,"o",0.905938936599268,0.00667480820135692,0,0.0231338316478981,13.5,0,"N"
"37",37,"7.1",26,"o",0.906310637255117,0.00736783455451529,0,0.0209664377029591,14,0,"N"
"38",38,"7.1",26,"o",0.906664717340745,0.00812948039187729,0,0.0190095293135958,14.5,0,"N"
"39",39,"7.1",26,"o",0.907002576277466,0.00896635794510801,0,0.0172416920612534,15,0,"N"
"40",40,"7.1",26,"o",0.9073254604215,0.00988570284100832,0,0.0156438261879224,15.5,0,"N"
"41",41,"7.1",26,"o",0.907634484104337,0.010895431983597,0,0.0141988761114929,16,0,"N"
"42",42,"7.1",26,"o",0.907930647225932,0.0120042067312468,0,0.0128915947777886,16.5,0,"N"
"43",43,"7.1",26,"o",0.908214850051089,0.0132215018492042,0,0.0117083378180286,17,0,"N"
