"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_val","iter_var"
"1","7.1","0",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"2","7.6","0",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
"3","8.2","0",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"4","8.8","0",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"5","9.4","0",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"6","10","0",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"7","7.1","1",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"8","7.6","1",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
"9","8.2","1",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"10","8.8","1",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"11","9.4","1",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"12","10","1",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"13","7.1","2",0,"n",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"14","7.6","2",0,"n",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
"15","8.2","2",0,"n",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"16","8.8","2",0,"n",0,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"17","9.4","2",0,"n",0,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"18","10","2",0,"n",0,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"19","7.1","0",0,"a",0,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"20","7.6","0",0,"a",0,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
"21","8.2","0",0,"a",0,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"22","8.8","0",0.277777777777778,"a",0.277777777777778,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"23","9.4","0",0.235294117647059,"a",0.235294117647059,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"24","10","0",0.1875,"a",0.1875,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"25","7.1","1",0.0769230769230769,"a",0.0769230769230769,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"26","7.6","1",0.0769230769230769,"a",0.0769230769230769,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
"27","8.2","1",0.0769230769230769,"a",0.0769230769230769,0.252813047255365,0.100000000000001,22.6,13,0.0786203689154736,0,"N"
"28","8.8","1",0.0555555555555556,"a",0.0555555555555556,0.155321754782881,1.1,22.5,18,0.0873248968312143,0,"N"
"29","9.4","1",0.0588235294117647,"a",0.0588235294117647,0.173859600605168,0.9,24.4,17,0.101598148942839,0,"N"
"30","10","1",0.0625,"a",0.0625,0.194247847617525,0.699999999999999,25.7,16,0.112729240671452,0,"N"
"31","7.1","2",0.923076923076923,"a",0.923076923076923,0.246362587518595,0.100000000000001,20,13,0.0595301993804354,0,"N"
"32","7.6","2",0.923076923076923,"a",0.923076923076923,0.249430444698312,0.100000000000001,20.5,13,0.0643402457574889,0,"N"
