"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","yn","Bn","ka","dn0","iter_id"
"1","7.1","0",0.466666666666667,"n",0.241379310344828,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"2","7.6","0",0.615384615384615,"n",0.296296296296296,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"3","8.2","0",0.6,"n",0.346153846153846,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"4","8.8","0",0.6,"n",0.375,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"5","9.4","0",0.6,"n",0.391304347826087,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"6","10","0",0.714285714285714,"n",0.535714285714286,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"7","7.1","1",0,"n",0,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"8","7.6","1",0,"n",0,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"9","8.2","1",0.0666666666666667,"n",0.0384615384615385,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"10","8.8","1",0.2,"n",0.125,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"11","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"12","10","1",0.0476190476190476,"n",0.0357142857142857,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"13","7.1","2",0.533333333333333,"n",0.275862068965517,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"14","7.6","2",0.384615384615385,"n",0.185185185185185,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"15","8.2","2",0.333333333333333,"n",0.192307692307692,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"16","8.8","2",0.2,"n",0.125,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"17","9.4","2",0.266666666666667,"n",0.173913043478261,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"18","10","2",0.238095238095238,"n",0.178571428571429,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"19","7.1","0",0.642857142857143,"a",0.310344827586207,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"20","7.6","0",0.428571428571429,"a",0.222222222222222,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"21","8.2","0",0.363636363636364,"a",0.153846153846154,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"22","8.8","0",0,"a",0,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"23","9.4","0",0,"a",0,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"24","10","0",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"25","7.1","1",0,"a",0,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"26","7.6","1",0.0714285714285714,"a",0.037037037037037,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"27","8.2","1",0,"a",0,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"28","8.8","1",0.222222222222222,"a",0.0833333333333333,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"29","9.4","1",0.125,"a",0.0434782608695652,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"30","10","1",0,"a",0,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"31","7.1","2",0.357142857142857,"a",0.172413793103448,0.0504366640958239,3.9,16.1,29,0.0590637549557212,1,1,1.3,0.1,16
"32","7.6","2",0.5,"a",0.259259259259259,0.0619971218557247,3.7,18.4,27,0.0720462380582391,1,1,1.3,0.1,16
"33","8.2","2",0.636363636363636,"a",0.269230769230769,0.0701732413985408,3.7,19.8,26,0.0831983826400026,1,1,1.3,0.1,16
"34","8.8","2",0.777777777777778,"a",0.291666666666667,0.0830779044614947,3.6,22.3,24,0.101598148942839,1,1,1.3,0.1,16
"35","9.4","2",0.875,"a",0.304347826086957,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.1,16
"36","10","2",1,"a",0.25,0.0616440388059692,5.2,21.7,28,0.116076296505076,1,1,1.3,0.1,16
"37","7.1","0",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"38","7.6","0",0.428571428571429,"n",0.214285714285714,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"39","8.2","0",0.571428571428571,"n",0.296296296296296,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"40","8.8","0",0.6,"n",0.36,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"41","9.4","0",0.6,"n",0.391304347826087,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"42","10","0",0.6,"n",0.409090909090909,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"43","7.1","1",0,"n",0,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"44","7.6","1",0,"n",0,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"45","8.2","1",0.0714285714285714,"n",0.037037037037037,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
"46","8.8","1",0.0666666666666667,"n",0.04,0.0788404009097732,3.5,20.7,25,0.0909470885326572,1,1,1.3,0.28,17
"47","9.4","1",0.133333333333333,"n",0.0869565217391304,0.0954527818114297,3.3,23.6,23,0.112063315447455,1,1,1.3,0.28,17
"48","10","1",0.0666666666666667,"n",0.0454545454545455,0.109103669033837,2.9,24.3,22,0.118097367795968,1,1,1.3,0.28,17
"49","7.1","2",0.5,"n",0.172413793103448,0.0496619635459536,3.8,16.1,29,0.058599963332954,1,1,1.3,0.28,17
"50","7.6","2",0.571428571428571,"n",0.285714285714286,0.0566622039445762,3.6,16.8,28,0.0633571079826131,1,1,1.3,0.28,17
"51","8.2","2",0.357142857142857,"n",0.185185185185185,0.0634491059072236,3.8,19,27,0.0791843286054554,1,1,1.3,0.28,17
