"","Time","Wstart","A","h","S.day","Fit","Beh","S.cum","W","yn","Bn","ka","dn0","iter_id"
"1",1,"7.1",1,"a",0.898505281250929,0.000182889409146424,0,0.898505281250929,7.1,1,1,1.3,0.1,16
"2",2,"7.1",1,"a",0.898863170195976,0.000203548507685786,0,0.807633305543037,7.3,1,1,1.3,0.1,16
"3",3,"7.1",1,"a",0.899208000325557,0.000226451048874777,0,0.726230329673674,7.5,1,1,1.3,0.1,16
"4",4,"7.1",1,"a",0.899540576564082,0.000251833890259863,0,0.65327364947298,7.7,1,1,1.3,0.1,16
"5",5,"7.1",1,"a",0.89986163498859,0.000279958344093578,0,0.587855894309719,7.9,1,1,1.3,0.1,16
"6",6,"7.1",1,"a",0.900171850281655,0.000311112656888776,0,0.529171328079757,8.1,1,1,1.3,0.1,16
"7",7,"7.1",1,"a",0.900471842216336,0.000345614736554395,0,0.476503880644043,8.3,1,1,1.3,0.1,16
"8",8,"7.1",1,"a",0.90076218131879,0.000383815151514046,0,0.429216674935797,8.5,1,1,1.3,0.1,16
"9",9,"7.1",1,"a",0.901043393829497,0.000426100428586054,0,0.386742849472362,8.7,1,1,1.3,0.1,16
"10",10,"7.1",1,"a",0.901315966063794,0.000472896679010206,2,0.348577504990447,8.9,1,1,1.3,0.1,16
"11",11,"7.1",3,"n",0.901315966063794,0.000524673584864395,0,0.314178470658571,8.9,1,1,1.3,0.1,16
"12",12,"7.1",3,"n",0.901709599763735,0.000582119483754113,0,0.283297743031923,9.2,1,1,1.3,0.1,16
"13",13,"7.1",3,"n",0.902086183057953,0.00064557312454768,0,0.2555589796806,9.5,1,1,1.3,0.1,16
"14",14,"7.1",3,"n",0.902446957243836,0.000715644620959909,0,0.230628423609097,9.8,1,1,1.3,0.1,16
"15",15,"7.1",3,"n",0.902793038805304,0.000793004636134582,0,0.208209735384934,10.1,1,1,1.3,0.1,16
"16",16,"7.1",3,"n",0.903125435226801,0.000878390286641987,0,0.188039507887975,10.4,1,1,1.3,0.1,16
"17",17,"7.1",3,"n",0.90344505841333,0.000972611613381698,0,0.169883364187866,10.7,1,1,1.3,0.1,16
"18",18,"7.1",3,"n",0.903752736134788,0.00107655867318577,2,0.153532555208566,11,1,1,1.3,0.1,16
"19",19,"7.1",5,"a",0.903752736134788,0.00119120930996021,2,0.138755466855507,11,1,1,1.3,0.1,16
"20",20,"7.1",7,"n",0.903752736134788,0.00131806993476427,2,0.125400632824325,11,1,1,1.3,0.1,16
"21",21,"7.1",9,"n",0.903752736134788,0.00145844087886412,2,0.113331165028017,11,1,1,1.3,0.1,16
"22",22,"7.1",11,"a",0.903752736134788,0.00161376095534896,2,0.102423350483414,11,1,1,1.3,0.1,16
"23",23,"7.1",13,"n",0.903752736134788,0.00178562220707709,2,0.0925653832434777,11,1,1,1.3,0.1,16
"24",24,"7.1",15,"n",0.903752736134788,0.00197578622523891,2,0.0836562183776582,11,1,1,1.3,0.1,16
"25",25,"7.1",17,"n",0.903752736134788,0.0021862022058036,2,0.075604536253498,11,1,1,1.3,0.1,16
"26",26,"7.1",19,"a",0.903752736134788,0.00241902692892931,2,0.0683278065033006,11,1,1,1.3,0.1,16
"27",27,"7.1",21,"n",0.903752736134788,0.00267664686612748,2,0.0617514420814463,11,1,1,1.3,0.1,16
"28",28,"7.1",23,"n",0.903752736134788,0.0029617026417813,2,0.055808034741376,11,1,1,1.3,0.1,16
"29",29,"7.1",25,"a",0.903752736134788,0.00327711609975096,2,0.0504366640958239,11,1,1,1.3,0.1,16
"30",30,"7.1",26,"o",0.903752736134788,0.00362612025250035,0,0.0455822731781121,11,1,1,1.3,0.1,16
"31",31,"7.1",26,"o",0.904145683866642,0.00401229241972612,0,0.0412130155548203,11.4,1,1,1.3,0.1,16
"32",32,"7.1",26,"o",0.90452033416949,0.004437661420411,0,0.0372780106017784,11.8,1,1,1.3,0.1,16
"33",33,"7.1",26,"o",0.904878115511478,0.00490609359764759,0,0.0337320559833541,12.2,1,1,1.3,0.1,16
