"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"1","7.1","0",0.767857142857143,"n",0.728813559322034,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"2","8.5","0",0.767857142857143,"n",0.728813559322034,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"3","10","0",0.767857142857143,"n",0.728813559322034,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"4","11.4","0",0.767857142857143,"n",0.728813559322034,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"5","12.8","0",0.767857142857143,"n",0.728813559322034,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"6","14.3","0",0.767857142857143,"n",0.728813559322034,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"7","15.7","0",0.767857142857143,"n",0.728813559322034,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"8","17.1","0",0.767857142857143,"n",0.728813559322034,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"9","18.6","0",0.767857142857143,"n",0.728813559322034,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"10","20","0",0.767857142857143,"n",0.728813559322034,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"11","7.1","1",0.125,"n",0.11864406779661,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"12","8.5","1",0.125,"n",0.11864406779661,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"13","10","1",0.125,"n",0.11864406779661,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"14","11.4","1",0.125,"n",0.11864406779661,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"15","12.8","1",0.125,"n",0.11864406779661,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"16","14.3","1",0.125,"n",0.11864406779661,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"17","15.7","1",0.125,"n",0.11864406779661,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"18","17.1","1",0.125,"n",0.11864406779661,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"19","18.6","1",0.125,"n",0.11864406779661,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"20","20","1",0.125,"n",0.11864406779661,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"21","7.1","2",0.107142857142857,"n",0.101694915254237,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"22","8.5","2",0.107142857142857,"n",0.101694915254237,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"23","10","2",0.107142857142857,"n",0.101694915254237,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"24","11.4","2",0.107142857142857,"n",0.101694915254237,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"25","12.8","2",0.107142857142857,"n",0.101694915254237,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"26","14.3","2",0.107142857142857,"n",0.101694915254237,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"27","15.7","2",0.107142857142857,"n",0.101694915254237,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"28","17.1","2",0.107142857142857,"n",0.101694915254237,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"29","18.6","2",0.107142857142857,"n",0.101694915254237,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"30","20","2",0.107142857142857,"n",0.101694915254237,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"31","7.1","0",0,"a",0,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"32","8.5","0",0,"a",0,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"33","10","0",0,"a",0,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"34","11.4","0",0,"a",0,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"35","12.8","0",0,"a",0,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"36","14.3","0",0,"a",0,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"37","15.7","0",0,"a",0,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"38","17.1","0",0,"a",0,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"39","18.6","0",0,"a",0,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"40","20","0",0,"a",0,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"41","7.1","1",0,"a",0,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"42","8.5","1",0,"a",0,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"43","10","1",0,"a",0,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"44","11.4","1",0,"a",0,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"45","12.8","1",0,"a",0,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
"46","14.3","1",0,"a",0,0.444978645867373,20.8,0,59,0.103550546647168,0.1,"yn","null"
"47","15.7","1",0,"a",0,0.445814660397545,22.4,0,59,0.123549492232778,0.1,"yn","null"
"48","17.1","1",0,"a",0,0.448560499210874,24.2,0,59,0.145539703756053,0.1,"yn","null"
"49","18.6","1",0,"a",0,0.452136904461972,25.4,0,59,0.16382918458248,0.1,"yn","null"
"50","20","1",0,"a",0,0.453632668437362,26.7,0,59,0.181210584140726,0.1,"yn","null"
"51","7.1","2",1,"a",0.0508474576271186,0.421052038864348,12.4,0,59,0.0311185908730597,0.1,"yn","null"
"52","8.5","2",1,"a",0.0508474576271186,0.426270162282569,13.8,0,59,0.0397619963956022,0.1,"yn","null"
"53","10","2",1,"a",0.0508474576271186,0.433730085078734,15.9,0,59,0.0536845578769371,0.1,"yn","null"
"54","11.4","2",1,"a",0.0508474576271186,0.438771138188726,18,0,59,0.0704709989736106,0.1,"yn","null"
"55","12.8","2",1,"a",0.0508474576271186,0.442105084513409,19.3,0,59,0.0855585724608011,0.1,"yn","null"
