"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index"
"1","7.1","0",0.851851851851852,"n",0.779661016949153,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"2","8.5","0",0.833333333333333,"n",0.76271186440678,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"3","10","0",0.901960784313726,"n",0.779661016949153,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"4","11.4","0",0.901960784313726,"n",0.779661016949153,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"5","12.8","0",0.833333333333333,"n",0.76271186440678,0.0304582016944015,25.9,0,59,0.1268963569865,1
"6","14.3","0",0.901960784313726,"n",0.779661016949153,0.0329443367094469,27.5,0,59,0.147341338212553,1
"7","15.7","0",0.833333333333333,"n",0.76271186440678,0.0338507033687531,29.7,0,59,0.172275443695427,1
"8","17.1","0",0.833333333333333,"n",0.76271186440678,0.0359740107437237,31.7,0,59,0.192290208319001,1
"9","18.6","0",0.833333333333333,"n",0.76271186440678,0.0371809533390455,33.5,0,59,0.211277631298039,1
"10","20","0",0.901960784313726,"n",0.779661016949153,0.0389174533226463,37.3,0,59,0.223313266315199,1
"11","7.1","1",0.0185185185185185,"n",0.0169491525423729,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"12","8.5","1",0.037037037037037,"n",0.0338983050847458,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"13","10","1",0,"n",0,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"14","11.4","1",0,"n",0,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"15","12.8","1",0.037037037037037,"n",0.0338983050847458,0.0304582016944015,25.9,0,59,0.1268963569865,1
"16","14.3","1",0,"n",0,0.0329443367094469,27.5,0,59,0.147341338212553,1
"17","15.7","1",0.037037037037037,"n",0.0338983050847458,0.0338507033687531,29.7,0,59,0.172275443695427,1
"18","17.1","1",0.037037037037037,"n",0.0338983050847458,0.0359740107437237,31.7,0,59,0.192290208319001,1
"19","18.6","1",0.037037037037037,"n",0.0338983050847458,0.0371809533390455,33.5,0,59,0.211277631298039,1
"20","20","1",0,"n",0,0.0389174533226463,37.3,0,59,0.223313266315199,1
"21","7.1","2",0.12962962962963,"n",0.11864406779661,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"22","8.5","2",0.12962962962963,"n",0.11864406779661,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"23","10","2",0.0980392156862745,"n",0.0847457627118644,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"24","11.4","2",0.0980392156862745,"n",0.0847457627118644,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"25","12.8","2",0.12962962962963,"n",0.11864406779661,0.0304582016944015,25.9,0,59,0.1268963569865,1
"26","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.0329443367094469,27.5,0,59,0.147341338212553,1
"27","15.7","2",0.12962962962963,"n",0.11864406779661,0.0338507033687531,29.7,0,59,0.172275443695427,1
"28","17.1","2",0.12962962962963,"n",0.11864406779661,0.0359740107437237,31.7,0,59,0.192290208319001,1
"29","18.6","2",0.12962962962963,"n",0.11864406779661,0.0371809533390455,33.5,0,59,0.211277631298039,1
"30","20","2",0.0980392156862745,"n",0.0847457627118644,0.0389174533226463,37.3,0,59,0.223313266315199,1
"31","7.1","0",0,"a",0,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"32","8.5","0",0,"a",0,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"33","10","0",0,"a",0,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"34","11.4","0",0,"a",0,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"35","12.8","0",0,"a",0,0.0304582016944015,25.9,0,59,0.1268963569865,1
"36","14.3","0",0,"a",0,0.0329443367094469,27.5,0,59,0.147341338212553,1
"37","15.7","0",0,"a",0,0.0338507033687531,29.7,0,59,0.172275443695427,1
"38","17.1","0",0,"a",0,0.0359740107437237,31.7,0,59,0.192290208319001,1
"39","18.6","0",0,"a",0,0.0371809533390455,33.5,0,59,0.211277631298039,1
"40","20","0",0,"a",0,0.0389174533226463,37.3,0,59,0.223313266315199,1
"41","7.1","1",0,"a",0,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"42","8.5","1",0.2,"a",0.0169491525423729,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"43","10","1",0.125,"a",0.0169491525423729,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"44","11.4","1",0.125,"a",0.0169491525423729,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"45","12.8","1",0.2,"a",0.0169491525423729,0.0304582016944015,25.9,0,59,0.1268963569865,1
"46","14.3","1",0.125,"a",0.0169491525423729,0.0329443367094469,27.5,0,59,0.147341338212553,1
"47","15.7","1",0.2,"a",0.0169491525423729,0.0338507033687531,29.7,0,59,0.172275443695427,1
"48","17.1","1",0.2,"a",0.0169491525423729,0.0359740107437237,31.7,0,59,0.192290208319001,1
"49","18.6","1",0.2,"a",0.0169491525423729,0.0371809533390455,33.5,0,59,0.211277631298039,1
"50","20","1",0.125,"a",0.0169491525423729,0.0389174533226463,37.3,0,59,0.223313266315199,1
"51","7.1","2",1,"a",0.0847457627118644,0.0219728246286251,16.6,0,59,0.0445288862264117,1
"52","8.5","2",0.8,"a",0.0677966101694915,0.0249732593652313,18.4,0,59,0.0574516205182375,1
"53","10","2",0.875,"a",0.11864406779661,0.0279933318791572,20.6,0,59,0.0751574888696496,1
"54","11.4","2",0.875,"a",0.11864406779661,0.0290417412143028,23.2,0,59,0.0998244760062544,1
"55","12.8","2",0.8,"a",0.0677966101694915,0.0304582016944015,25.9,0,59,0.1268963569865,1
"56","14.3","2",0.875,"a",0.11864406779661,0.0329443367094469,27.5,0,59,0.147341338212553,1
"57","15.7","2",0.8,"a",0.0677966101694915,0.0338507033687531,29.7,0,59,0.172275443695427,1
"58","17.1","2",0.8,"a",0.0677966101694915,0.0359740107437237,31.7,0,59,0.192290208319001,1
"59","18.6","2",0.8,"a",0.0677966101694915,0.0371809533390455,33.5,0,59,0.211277631298039,1
"60","20","2",0.875,"a",0.11864406779661,0.0389174533226463,37.3,0,59,0.223313266315199,1
"61","7.1","0",0.851851851851852,"n",0.779661016949153,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"62","8.5","0",0.901960784313726,"n",0.779661016949153,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"63","10","0",0.901960784313726,"n",0.779661016949153,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"64","11.4","0",0.901960784313726,"n",0.779661016949153,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"65","12.8","0",0.833333333333333,"n",0.76271186440678,0.0202284972483,25.9,0,59,0.1268963569865,2
"66","14.3","0",0.901960784313726,"n",0.779661016949153,0.0220565070752437,27.5,0,59,0.147341338212553,2
"67","15.7","0",0.901960784313726,"n",0.779661016949153,0.0232555711234283,29.1,0,59,0.167531884257276,2
"68","17.1","0",0.901960784313726,"n",0.779661016949153,0.0244150146453359,32.1,0,59,0.188562725888569,2
"69","18.6","0",0.901960784313726,"n",0.779661016949153,0.0252164598537406,32.9,0,59,0.208028824949838,2
"70","20","0",0.901960784313726,"n",0.779661016949153,0.0260570377772833,37.3,0,59,0.223313266315199,2
"71","7.1","1",0.0185185185185185,"n",0.0169491525423729,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"72","8.5","1",0,"n",0,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"73","10","1",0,"n",0,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"74","11.4","1",0,"n",0,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"75","12.8","1",0.037037037037037,"n",0.0338983050847458,0.0202284972483,25.9,0,59,0.1268963569865,2
"76","14.3","1",0,"n",0,0.0220565070752437,27.5,0,59,0.147341338212553,2
"77","15.7","1",0,"n",0,0.0232555711234283,29.1,0,59,0.167531884257276,2
"78","17.1","1",0,"n",0,0.0244150146453359,32.1,0,59,0.188562725888569,2
"79","18.6","1",0,"n",0,0.0252164598537406,32.9,0,59,0.208028824949838,2
"80","20","1",0,"n",0,0.0260570377772833,37.3,0,59,0.223313266315199,2
"81","7.1","2",0.12962962962963,"n",0.11864406779661,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"82","8.5","2",0.0980392156862745,"n",0.0847457627118644,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"83","10","2",0.0980392156862745,"n",0.0847457627118644,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"84","11.4","2",0.0980392156862745,"n",0.0847457627118644,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"85","12.8","2",0.12962962962963,"n",0.11864406779661,0.0202284972483,25.9,0,59,0.1268963569865,2
"86","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.0220565070752437,27.5,0,59,0.147341338212553,2
"87","15.7","2",0.0980392156862745,"n",0.0847457627118644,0.0232555711234283,29.1,0,59,0.167531884257276,2
"88","17.1","2",0.0980392156862745,"n",0.0847457627118644,0.0244150146453359,32.1,0,59,0.188562725888569,2
"89","18.6","2",0.0980392156862745,"n",0.0847457627118644,0.0252164598537406,32.9,0,59,0.208028824949838,2
"90","20","2",0.0980392156862745,"n",0.0847457627118644,0.0260570377772833,37.3,0,59,0.223313266315199,2
"91","7.1","0",0,"a",0,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"92","8.5","0",0,"a",0,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"93","10","0",0,"a",0,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"94","11.4","0",0,"a",0,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"95","12.8","0",0,"a",0,0.0202284972483,25.9,0,59,0.1268963569865,2
"96","14.3","0",0,"a",0,0.0220565070752437,27.5,0,59,0.147341338212553,2
"97","15.7","0",0,"a",0,0.0232555711234283,29.1,0,59,0.167531884257276,2
"98","17.1","0",0,"a",0,0.0244150146453359,32.1,0,59,0.188562725888569,2
"99","18.6","0",0,"a",0,0.0252164598537406,32.9,0,59,0.208028824949838,2
"100","20","0",0,"a",0,0.0260570377772833,37.3,0,59,0.223313266315199,2
"101","7.1","1",0,"a",0,0.0147089935258695,16.6,0,59,0.0445288862264117,2
"102","8.5","1",0.125,"a",0.0169491525423729,0.0168296075086753,18.3,0,59,0.0569944674396804,2
"103","10","1",0.125,"a",0.0169491525423729,0.0187406194158738,20.6,0,59,0.0751574888696496,2
"104","11.4","1",0.125,"a",0.0169491525423729,0.0194428639295708,23.2,0,59,0.0998244760062544,2
"105","12.8","1",0.2,"a",0.0169491525423729,0.0202284972483,25.9,0,59,0.1268963569865,2
