"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","iter_index"
"1","7.1","0",0.818181818181818,"n",0.76271186440678,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"2","8.5","0",0.818181818181818,"n",0.76271186440678,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"3","10","0",0.851851851851852,"n",0.779661016949153,0.029265751193577,21,0,59,0.0806975207271143,1
"4","11.4","0",0.818181818181818,"n",0.76271186440678,0.0307371353640333,23.7,0,59,0.103508496000907,1
"5","12.8","0",0.818181818181818,"n",0.76271186440678,0.0323772922291368,26.1,0,59,0.130402051702158,1
"6","14.3","0",0.851851851851852,"n",0.779661016949153,0.0343583964093816,27.7,0,59,0.153067915689796,1
"7","15.7","0",0.851851851851852,"n",0.779661016949153,0.036079842004444,30,0,59,0.174134342905165,1
"8","17.1","0",0.851851851851852,"n",0.779661016949153,0.0380748604571096,31.8,0,59,0.193084725383634,1
"9","18.6","0",0.851851851851852,"n",0.779661016949153,0.0394613277264204,34.2,0,59,0.214145690938323,1
"10","20","0",0.851851851851852,"n",0.779661016949153,0.0406496562355771,37,0,59,0.227244437514032,1
"11","7.1","1",0.0363636363636364,"n",0.0338983050847458,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"12","8.5","1",0.0363636363636364,"n",0.0338983050847458,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"13","10","1",0,"n",0,0.029265751193577,21,0,59,0.0806975207271143,1
"14","11.4","1",0.0363636363636364,"n",0.0338983050847458,0.0307371353640333,23.7,0,59,0.103508496000907,1
"15","12.8","1",0.0545454545454545,"n",0.0508474576271186,0.0323772922291368,26.1,0,59,0.130402051702158,1
"16","14.3","1",0,"n",0,0.0343583964093816,27.7,0,59,0.153067915689796,1
"17","15.7","1",0,"n",0,0.036079842004444,30,0,59,0.174134342905165,1
"18","17.1","1",0,"n",0,0.0380748604571096,31.8,0,59,0.193084725383634,1
"19","18.6","1",0,"n",0,0.0394613277264204,34.2,0,59,0.214145690938323,1
"20","20","1",0,"n",0,0.0406496562355771,37,0,59,0.227244437514032,1
"21","7.1","2",0.145454545454545,"n",0.135593220338983,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"22","8.5","2",0.145454545454545,"n",0.135593220338983,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"23","10","2",0.148148148148148,"n",0.135593220338983,0.029265751193577,21,0,59,0.0806975207271143,1
"24","11.4","2",0.145454545454545,"n",0.135593220338983,0.0307371353640333,23.7,0,59,0.103508496000907,1
"25","12.8","2",0.127272727272727,"n",0.11864406779661,0.0323772922291368,26.1,0,59,0.130402051702158,1
"26","14.3","2",0.148148148148148,"n",0.135593220338983,0.0343583964093816,27.7,0,59,0.153067915689796,1
"27","15.7","2",0.148148148148148,"n",0.135593220338983,0.036079842004444,30,0,59,0.174134342905165,1
"28","17.1","2",0.148148148148148,"n",0.135593220338983,0.0380748604571096,31.8,0,59,0.193084725383634,1
"29","18.6","2",0.148148148148148,"n",0.135593220338983,0.0394613277264204,34.2,0,59,0.214145690938323,1
"30","20","2",0.148148148148148,"n",0.135593220338983,0.0406496562355771,37,0,59,0.227244437514032,1
"31","7.1","0",0,"a",0,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"32","8.5","0",0,"a",0,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"33","10","0",0,"a",0,0.029265751193577,21,0,59,0.0806975207271143,1
"34","11.4","0",0,"a",0,0.0307371353640333,23.7,0,59,0.103508496000907,1
"35","12.8","0",0,"a",0,0.0323772922291368,26.1,0,59,0.130402051702158,1
"36","14.3","0",0,"a",0,0.0343583964093816,27.7,0,59,0.153067915689796,1
"37","15.7","0",0,"a",0,0.036079842004444,30,0,59,0.174134342905165,1
"38","17.1","0",0,"a",0,0.0380748604571096,31.8,0,59,0.193084725383634,1
"39","18.6","0",0,"a",0,0.0394613277264204,34.2,0,59,0.214145690938323,1
"40","20","0",0,"a",0,0.0406496562355771,37,0,59,0.227244437514032,1
"41","7.1","1",0.25,"a",0.0169491525423729,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"42","8.5","1",0.25,"a",0.0169491525423729,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"43","10","1",0.2,"a",0.0169491525423729,0.029265751193577,21,0,59,0.0806975207271143,1
"44","11.4","1",0.25,"a",0.0169491525423729,0.0307371353640333,23.7,0,59,0.103508496000907,1
"45","12.8","1",0,"a",0,0.0323772922291368,26.1,0,59,0.130402051702158,1
"46","14.3","1",0.2,"a",0.0169491525423729,0.0343583964093816,27.7,0,59,0.153067915689796,1
"47","15.7","1",0.2,"a",0.0169491525423729,0.036079842004444,30,0,59,0.174134342905165,1
"48","17.1","1",0.2,"a",0.0169491525423729,0.0380748604571096,31.8,0,59,0.193084725383634,1
"49","18.6","1",0.2,"a",0.0169491525423729,0.0394613277264204,34.2,0,59,0.214145690938323,1
"50","20","1",0.2,"a",0.0169491525423729,0.0406496562355771,37,0,59,0.227244437514032,1
"51","7.1","2",0.75,"a",0.0508474576271186,0.0235268532589011,16.5,0,59,0.0449016013725094,1
"52","8.5","2",0.75,"a",0.0508474576271186,0.0261773984943376,19.1,0,59,0.0606881978035394,1
"53","10","2",0.8,"a",0.0677966101694915,0.029265751193577,21,0,59,0.0806975207271143,1
"54","11.4","2",0.75,"a",0.0508474576271186,0.0307371353640333,23.7,0,59,0.103508496000907,1
"55","12.8","2",1,"a",0.0677966101694915,0.0323772922291368,26.1,0,59,0.130402051702158,1
