"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"1","7.1","0",0.818181818181818,"n",0.76271186440678,0.0222581329382209,12,0,59,0.0311851913721551,0.1,"Bn","null"
"2","8.5","0",0.851851851851852,"n",0.779661016949153,0.0249024606059394,13.2,0,59,0.0391768702577432,0.1,"Bn","null"
"3","10","0",0.818181818181818,"n",0.76271186440678,0.0269350528081072,15.3,0,59,0.0534109833298757,0.1,"Bn","null"
"4","11.4","0",0.818181818181818,"n",0.76271186440678,0.0291675698183189,17.4,0,59,0.0702178326029635,0.1,"Bn","null"
"5","12.8","0",0.818181818181818,"n",0.76271186440678,0.030631907457646,19,0,59,0.0861014842553464,0.1,"Bn","null"
"6","14.3","0",0.818181818181818,"n",0.76271186440678,0.0323789924745446,20.1,0,59,0.103505124758825,0.1,"Bn","null"
"7","15.7","0",0.851851851851852,"n",0.779661016949153,0.0343901068928207,21.3,0,59,0.120981149073455,0.1,"Bn","null"
"8","17.1","0",0.818181818181818,"n",0.76271186440678,0.0349978163650131,23.3,0,59,0.144688410653727,0.1,"Bn","null"
"9","18.6","0",0.851851851851852,"n",0.779661016949153,0.0368646577302836,24.4,0,59,0.162710335913654,0.1,"Bn","null"
"10","20","0",0.851851851851852,"n",0.779661016949153,0.0378065147210141,25.5,0,59,0.179350092612305,0.1,"Bn","null"
"11","7.1","1",0.0363636363636364,"n",0.0338983050847458,0.0222581329382209,12,0,59,0.0311851913721551,0.1,"Bn","null"
"12","8.5","1",0,"n",0,0.0249024606059394,13.2,0,59,0.0391768702577432,0.1,"Bn","null"
"13","10","1",0.0363636363636364,"n",0.0338983050847458,0.0269350528081072,15.3,0,59,0.0534109833298757,0.1,"Bn","null"
"14","11.4","1",0.0363636363636364,"n",0.0338983050847458,0.0291675698183189,17.4,0,59,0.0702178326029635,0.1,"Bn","null"
"15","12.8","1",0.0545454545454545,"n",0.0508474576271186,0.030631907457646,19,0,59,0.0861014842553464,0.1,"Bn","null"
"16","14.3","1",0.0363636363636364,"n",0.0338983050847458,0.0323789924745446,20.1,0,59,0.103505124758825,0.1,"Bn","null"
"17","15.7","1",0,"n",0,0.0343901068928207,21.3,0,59,0.120981149073455,0.1,"Bn","null"
"18","17.1","1",0.0363636363636364,"n",0.0338983050847458,0.0349978163650131,23.3,0,59,0.144688410653727,0.1,"Bn","null"
"19","18.6","1",0,"n",0,0.0368646577302836,24.4,0,59,0.162710335913654,0.1,"Bn","null"
"20","20","1",0,"n",0,0.0378065147210141,25.5,0,59,0.179350092612305,0.1,"Bn","null"
"21","7.1","2",0.145454545454545,"n",0.135593220338983,0.0222581329382209,12,0,59,0.0311851913721551,0.1,"Bn","null"
"22","8.5","2",0.148148148148148,"n",0.135593220338983,0.0249024606059394,13.2,0,59,0.0391768702577432,0.1,"Bn","null"
"23","10","2",0.145454545454545,"n",0.135593220338983,0.0269350528081072,15.3,0,59,0.0534109833298757,0.1,"Bn","null"
"24","11.4","2",0.145454545454545,"n",0.135593220338983,0.0291675698183189,17.4,0,59,0.0702178326029635,0.1,"Bn","null"
"25","12.8","2",0.127272727272727,"n",0.11864406779661,0.030631907457646,19,0,59,0.0861014842553464,0.1,"Bn","null"
"26","14.3","2",0.145454545454545,"n",0.135593220338983,0.0323789924745446,20.1,0,59,0.103505124758825,0.1,"Bn","null"
"27","15.7","2",0.148148148148148,"n",0.135593220338983,0.0343901068928207,21.3,0,59,0.120981149073455,0.1,"Bn","null"
"28","17.1","2",0.145454545454545,"n",0.135593220338983,0.0349978163650131,23.3,0,59,0.144688410653727,0.1,"Bn","null"
