"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","param_value","param_name","baseline"
"1","7.1","0",0.901960784313726,"n",0.779661016949153,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"2","8.5","0",0.901960784313726,"n",0.779661016949153,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"3","10","0",0.851851851851852,"n",0.779661016949153,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"4","11.4","0",0.830188679245283,"n",0.745762711864407,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"5","12.8","0",0.901960784313726,"n",0.779661016949153,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"6","14.3","0",0.901960784313726,"n",0.779661016949153,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"7","15.7","0",0.882352941176471,"n",0.76271186440678,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
"8","17.1","0",0.833333333333333,"n",0.76271186440678,0.0339290647114227,23.7,0,59,0.144511853126858,0.1,"Bn","null"
"9","18.6","0",0.901960784313726,"n",0.779661016949153,0.0355481214930431,24.7,0,59,0.16202948953152,0.1,"Bn","null"
"10","20","0",0.901960784313726,"n",0.779661016949153,0.0365426067914795,25.9,0,59,0.179574072133448,0.1,"Bn","null"
"11","7.1","1",0,"n",0,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"12","8.5","1",0,"n",0,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"13","10","1",0.0185185185185185,"n",0.0169491525423729,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"14","11.4","1",0.0377358490566038,"n",0.0338983050847458,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"15","12.8","1",0,"n",0,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"16","14.3","1",0,"n",0,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"17","15.7","1",0.0196078431372549,"n",0.0169491525423729,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
"18","17.1","1",0.037037037037037,"n",0.0338983050847458,0.0339290647114227,23.7,0,59,0.144511853126858,0.1,"Bn","null"
"19","18.6","1",0,"n",0,0.0355481214930431,24.7,0,59,0.16202948953152,0.1,"Bn","null"
"20","20","1",0,"n",0,0.0365426067914795,25.9,0,59,0.179574072133448,0.1,"Bn","null"
"21","7.1","2",0.0980392156862745,"n",0.0847457627118644,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"22","8.5","2",0.0980392156862745,"n",0.0847457627118644,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"23","10","2",0.12962962962963,"n",0.11864406779661,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"24","11.4","2",0.132075471698113,"n",0.11864406779661,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"25","12.8","2",0.0980392156862745,"n",0.0847457627118644,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"26","14.3","2",0.0980392156862745,"n",0.0847457627118644,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"27","15.7","2",0.0980392156862745,"n",0.0847457627118644,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
"28","17.1","2",0.12962962962963,"n",0.11864406779661,0.0339290647114227,23.7,0,59,0.144511853126858,0.1,"Bn","null"
"29","18.6","2",0.0980392156862745,"n",0.0847457627118644,0.0355481214930431,24.7,0,59,0.16202948953152,0.1,"Bn","null"
"30","20","2",0.0980392156862745,"n",0.0847457627118644,0.0365426067914795,25.9,0,59,0.179574072133448,0.1,"Bn","null"
"31","7.1","0",0,"a",0,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"32","8.5","0",0,"a",0,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"33","10","0",0,"a",0,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"34","11.4","0",0.166666666666667,"a",0.0169491525423729,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"35","12.8","0",0,"a",0,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"36","14.3","0",0,"a",0,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"37","15.7","0",0,"a",0,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
"38","17.1","0",0,"a",0,0.0339290647114227,23.7,0,59,0.144511853126858,0.1,"Bn","null"
"39","18.6","0",0,"a",0,0.0355481214930431,24.7,0,59,0.16202948953152,0.1,"Bn","null"
"40","20","0",0,"a",0,0.0365426067914795,25.9,0,59,0.179574072133448,0.1,"Bn","null"
"41","7.1","1",0.125,"a",0.0169491525423729,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"42","8.5","1",0.125,"a",0.0169491525423729,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"43","10","1",0,"a",0,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"44","11.4","1",0.166666666666667,"a",0.0169491525423729,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"45","12.8","1",0.125,"a",0.0169491525423729,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"46","14.3","1",0.125,"a",0.0169491525423729,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"47","15.7","1",0.25,"a",0.0338983050847458,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
"48","17.1","1",0.2,"a",0.0169491525423729,0.0339290647114227,23.7,0,59,0.144511853126858,0.1,"Bn","null"
"49","18.6","1",0.125,"a",0.0169491525423729,0.0355481214930431,24.7,0,59,0.16202948953152,0.1,"Bn","null"
"50","20","1",0.125,"a",0.0169491525423729,0.0365426067914795,25.9,0,59,0.179574072133448,0.1,"Bn","null"
"51","7.1","2",0.875,"a",0.11864406779661,0.0219651613108063,12.1,0,59,0.0311725499148007,0.1,"Bn","null"
"52","8.5","2",0.875,"a",0.11864406779661,0.024129911151985,13.5,0,59,0.0398533891126368,0.1,"Bn","null"
"53","10","2",1,"a",0.0847457627118644,0.026050682709188,15.4,0,59,0.052999514185488,0.1,"Bn","null"
"54","11.4","2",0.666666666666667,"a",0.0677966101694915,0.028131799631871,17.7,0,59,0.0708174448886921,0.1,"Bn","null"
"55","12.8","2",0.875,"a",0.11864406779661,0.0302803142556651,18.8,0,59,0.0849075506403212,0.1,"Bn","null"
"56","14.3","2",0.875,"a",0.11864406779661,0.0318580840361186,20.3,0,59,0.103729602914384,0.1,"Bn","null"
"57","15.7","2",0.75,"a",0.101694915254237,0.0324764132094396,21.9,0,59,0.12201553628296,0.1,"Bn","null"
